week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,2,0,0,0,1,0.25,0.14285714285714285,0.5464285714285715,BLCM_BLCMods_32594096+captainkoby_at_users.noreply.github.com,BLCM/BLCMods,OSS,0
1,0,0,0,0,0,0.25,0.0,0.025,BLCM_BLCMods_32594096+captainkoby_at_users.noreply.github.com,BLCM/BLCMods,OSS,0
2,0,0,0,0,0,0.25,0.0,0.025,BLCM_BLCMods_32594096+captainkoby_at_users.noreply.github.com,BLCM/BLCMods,OSS,0
3,12,0,0,0,4,0.5,0.5714285714285714,3.1357142857142857,BLCM_BLCMods_32594096+captainkoby_at_users.noreply.github.com,BLCM/BLCMods,OSS,0
4,5,0,0,0,2,0.5,0.2857142857142857,1.342857142857143,BLCM_BLCMods_32594096+captainkoby_at_users.noreply.github.com,BLCM/BLCMods,OSS,1
5,2,0,0,0,2,0.75,0.2857142857142857,0.6178571428571429,BLCM_BLCMods_32594096+captainkoby_at_users.noreply.github.com,BLCM/BLCMods,OSS,1
6,7,0,0,0,2,1.0,0.2857142857142857,1.892857142857143,BLCM_BLCMods_32594096+captainkoby_at_users.noreply.github.com,BLCM/BLCMods,OSS,1
7,14,0,0,0,4,1.0,0.5714285714285714,3.685714285714286,BLCM_BLCMods_32594096+captainkoby_at_users.noreply.github.com,BLCM/BLCMods,OSS,1
8,5,0,0,0,2,1.0,0.2857142857142857,1.392857142857143,BLCM_BLCMods_32594096+captainkoby_at_users.noreply.github.com,BLCM/BLCMods,OSS,2
9,2,0,0,0,1,1.0,0.14285714285714285,0.6214285714285714,BLCM_BLCMods_32594096+captainkoby_at_users.noreply.github.com,BLCM/BLCMods,OSS,2
10,5,0,0,0,3,1.0,0.42857142857142855,1.4142857142857144,BLCM_BLCMods_32594096+captainkoby_at_users.noreply.github.com,BLCM/BLCMods,OSS,2
11,15,0,0,0,4,1.0,0.5714285714285714,3.935714285714286,BLCM_BLCMods_32594096+captainkoby_at_users.noreply.github.com,BLCM/BLCMods,OSS,2
