week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,6,4,0,0,2,0.25,0.2857142857142857,2.3678571428571424,BLCM_BLCMods_hemaxhu_at_mail.ru,BLCM/BLCMods,OSS,0
1,0,0,0,0,0,0.25,0.0,0.025,BLCM_BLCMods_hemaxhu_at_mail.ru,BLCM/BLCMods,OSS,0
2,0,0,0,0,0,0.25,0.0,0.025,BLCM_BLCMods_hemaxhu_at_mail.ru,BLCM/BLCMods,OSS,0
3,0,0,0,0,0,0.25,0.0,0.025,BLCM_BLCMods_hemaxhu_at_mail.ru,BLCM/BLCMods,OSS,0
4,2,2,0,0,1,0.25,0.14285714285714285,0.9464285714285715,BLCM_BLCMods_hemaxhu_at_mail.ru,BLCM/BLCMods,OSS,1
5,0,0,0,0,0,0.25,0.0,0.025,BLCM_BLCMods_hemaxhu_at_mail.ru,BLCM/BLCMods,OSS,1
6,0,0,0,0,0,0.25,0.0,0.025,BLCM_BLCMods_hemaxhu_at_mail.ru,BLCM/BLCMods,OSS,1
7,0,0,0,0,0,0.25,0.0,0.025,BLCM_BLCMods_hemaxhu_at_mail.ru,BLCM/BLCMods,OSS,1
8,0,0,0,0,0,0.0,0.0,0.0,BLCM_BLCMods_hemaxhu_at_mail.ru,BLCM/BLCMods,OSS,2
9,0,0,0,0,0,0.0,0.0,0.0,BLCM_BLCMods_hemaxhu_at_mail.ru,BLCM/BLCMods,OSS,2
10,6,6,0,0,1,0.25,0.14285714285714285,2.7464285714285714,BLCM_BLCMods_hemaxhu_at_mail.ru,BLCM/BLCMods,OSS,2
11,5,5,3,1,4,0.5,0.5714285714285714,2.9857142857142858,BLCM_BLCMods_hemaxhu_at_mail.ru,BLCM/BLCMods,OSS,2
12,4,4,0,0,1,0.75,0.14285714285714285,1.8964285714285714,BLCM_BLCMods_hemaxhu_at_mail.ru,BLCM/BLCMods,OSS,3
13,0,0,0,0,0,0.75,0.0,0.07500000000000001,BLCM_BLCMods_hemaxhu_at_mail.ru,BLCM/BLCMods,OSS,3
14,2,2,0,0,1,0.75,0.14285714285714285,0.9964285714285714,BLCM_BLCMods_hemaxhu_at_mail.ru,BLCM/BLCMods,OSS,3
15,0,0,0,0,0,0.5,0.0,0.05,BLCM_BLCMods_hemaxhu_at_mail.ru,BLCM/BLCMods,OSS,3
16,2,2,0,0,1,0.5,0.14285714285714285,0.9714285714285715,BLCM_BLCMods_hemaxhu_at_mail.ru,BLCM/BLCMods,OSS,4
17,10,8,0,0,4,0.75,0.5714285714285714,4.260714285714285,BLCM_BLCMods_hemaxhu_at_mail.ru,BLCM/BLCMods,OSS,4
18,1,1,0,0,1,0.75,0.14285714285714285,0.5464285714285715,BLCM_BLCMods_hemaxhu_at_mail.ru,BLCM/BLCMods,OSS,4
19,1,1,0,0,1,1.0,0.14285714285714285,0.5714285714285714,BLCM_BLCMods_hemaxhu_at_mail.ru,BLCM/BLCMods,OSS,4
20,5,4,0,0,3,1.0,0.42857142857142855,2.214285714285714,BLCM_BLCMods_hemaxhu_at_mail.ru,BLCM/BLCMods,OSS,5
