week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
-14,0,0,1,1,1,0.25,0.14285714285714285,0.3464285714285714,CenterForOpenScience_osf.io_nc6r_at_virginia.edu,CenterForOpenScience/osf.io,OSS4SG,-4
-13,0,0,0,0,0,0.25,0.0,0.025,CenterForOpenScience_osf.io_nc6r_at_virginia.edu,CenterForOpenScience/osf.io,OSS4SG,-4
-12,0,0,0,0,0,0.25,0.0,0.025,CenterForOpenScience_osf.io_nc6r_at_virginia.edu,CenterForOpenScience/osf.io,OSS4SG,-3
-11,0,0,0,0,0,0.25,0.0,0.025,CenterForOpenScience_osf.io_nc6r_at_virginia.edu,CenterForOpenScience/osf.io,OSS4SG,-3
-10,0,0,0,0,0,0.0,0.0,0.0,CenterForOpenScience_osf.io_nc6r_at_virginia.edu,CenterForOpenScience/osf.io,OSS4SG,-3
-9,0,0,0,0,0,0.0,0.0,0.0,CenterForOpenScience_osf.io_nc6r_at_virginia.edu,CenterForOpenScience/osf.io,OSS4SG,-3
-8,0,0,0,0,0,0.0,0.0,0.0,CenterForOpenScience_osf.io_nc6r_at_virginia.edu,CenterForOpenScience/osf.io,OSS4SG,-2
-7,0,0,0,0,0,0.0,0.0,0.0,CenterForOpenScience_osf.io_nc6r_at_virginia.edu,CenterForOpenScience/osf.io,OSS4SG,-2
-6,0,0,0,0,0,0.0,0.0,0.0,CenterForOpenScience_osf.io_nc6r_at_virginia.edu,CenterForOpenScience/osf.io,OSS4SG,-2
-5,0,0,0,0,0,0.0,0.0,0.0,CenterForOpenScience_osf.io_nc6r_at_virginia.edu,CenterForOpenScience/osf.io,OSS4SG,-2
-4,0,0,0,0,0,0.0,0.0,0.0,CenterForOpenScience_osf.io_nc6r_at_virginia.edu,CenterForOpenScience/osf.io,OSS4SG,-1
-3,0,0,0,0,0,0.0,0.0,0.0,CenterForOpenScience_osf.io_nc6r_at_virginia.edu,CenterForOpenScience/osf.io,OSS4SG,-1
-2,0,0,0,0,0,0.0,0.0,0.0,CenterForOpenScience_osf.io_nc6r_at_virginia.edu,CenterForOpenScience/osf.io,OSS4SG,-1
-1,0,0,0,0,0,0.0,0.0,0.0,CenterForOpenScience_osf.io_nc6r_at_virginia.edu,CenterForOpenScience/osf.io,OSS4SG,-1
0,3,0,0,0,1,0.25,0.14285714285714285,0.7964285714285715,CenterForOpenScience_osf.io_nc6r_at_virginia.edu,CenterForOpenScience/osf.io,OSS4SG,0
1,42,0,0,0,6,0.5,0.8571428571428571,10.678571428571429,CenterForOpenScience_osf.io_nc6r_at_virginia.edu,CenterForOpenScience/osf.io,OSS4SG,0
2,2,0,0,1,2,0.75,0.2857142857142857,0.7678571428571428,CenterForOpenScience_osf.io_nc6r_at_virginia.edu,CenterForOpenScience/osf.io,OSS4SG,0
3,4,0,4,4,5,1.0,0.7142857142857143,2.4071428571428575,CenterForOpenScience_osf.io_nc6r_at_virginia.edu,CenterForOpenScience/osf.io,OSS4SG,0
4,0,0,0,0,0,0.75,0.0,0.07500000000000001,CenterForOpenScience_osf.io_nc6r_at_virginia.edu,CenterForOpenScience/osf.io,OSS4SG,1
5,54,0,0,0,4,0.75,0.5714285714285714,13.660714285714285,CenterForOpenScience_osf.io_nc6r_at_virginia.edu,CenterForOpenScience/osf.io,OSS4SG,1
6,0,0,0,0,0,0.5,0.0,0.05,CenterForOpenScience_osf.io_nc6r_at_virginia.edu,CenterForOpenScience/osf.io,OSS4SG,1
7,34,0,0,0,2,0.5,0.2857142857142857,8.592857142857143,CenterForOpenScience_osf.io_nc6r_at_virginia.edu,CenterForOpenScience/osf.io,OSS4SG,1
8,2,0,2,2,2,0.75,0.2857142857142857,1.217857142857143,CenterForOpenScience_osf.io_nc6r_at_virginia.edu,CenterForOpenScience/osf.io,OSS4SG,2
