week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,1,1,0,0,1,0.25,0.14285714285714285,0.49642857142857144,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,0
1,0,0,0,0,0,0.25,0.0,0.025,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,0
2,0,0,0,0,0,0.25,0.0,0.025,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,0
3,0,0,0,0,0,0.25,0.0,0.025,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,0
4,0,0,0,0,0,0.0,0.0,0.0,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,1
5,0,0,0,0,0,0.0,0.0,0.0,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,1
6,0,0,0,0,0,0.0,0.0,0.0,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,1
7,0,0,0,0,0,0.0,0.0,0.0,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,1
8,9,0,0,0,5,0.25,0.7142857142857143,2.382142857142857,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,2
9,6,0,0,0,4,0.5,0.5714285714285714,1.6357142857142857,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,2
10,7,0,0,0,3,0.75,0.42857142857142855,1.8892857142857142,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,2
11,16,0,0,0,5,1.0,0.7142857142857143,4.207142857142856,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,2
12,5,0,0,0,2,1.0,0.2857142857142857,1.392857142857143,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,3
13,0,0,0,0,0,0.75,0.0,0.07500000000000001,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,3
14,3,0,0,0,2,0.75,0.2857142857142857,0.8678571428571429,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,3
15,4,0,0,0,1,0.75,0.14285714285714285,1.0964285714285713,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,3
16,20,1,17,0,5,0.75,0.7142857142857143,7.932142857142857,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,4
17,14,0,1,1,5,1.0,0.7142857142857143,4.007142857142857,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,4
18,2,0,0,0,1,1.0,0.14285714285714285,0.6214285714285714,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,4
19,6,0,0,0,4,1.0,0.5714285714285714,1.6857142857142857,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,4
20,10,0,0,0,4,1.0,0.5714285714285714,2.685714285714286,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,5
21,9,3,0,0,4,1.0,0.5714285714285714,3.035714285714286,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,5
22,6,5,2,0,4,1.0,0.5714285714285714,2.9857142857142858,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,5
23,2,2,0,0,2,1.0,0.2857142857142857,1.042857142857143,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,5
24,12,5,1,1,4,1.0,0.5714285714285714,4.485714285714286,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,6
25,5,0,0,0,2,1.0,0.2857142857142857,1.392857142857143,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,6
26,6,2,0,0,3,1.0,0.42857142857142855,2.064285714285714,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,6
27,26,5,3,1,3,1.0,0.42857142857142855,8.264285714285714,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,6
28,40,2,0,0,5,1.0,0.7142857142857143,10.607142857142858,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,7
29,13,3,1,1,3,1.0,0.42857142857142855,4.314285714285714,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,7
30,13,8,0,0,5,1.0,0.7142857142857143,5.057142857142856,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,7
31,7,3,1,0,2,1.0,0.2857142857142857,2.642857142857143,Datawheel_canon_git.id_at_frabarz.cl,Datawheel/canon,OSS4SG,7
