week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,0
1,3,0,0,0,2,0.5,0.2857142857142857,0.8428571428571429,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,0
2,0,0,0,0,0,0.5,0.0,0.05,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,0
3,0,0,0,0,0,0.5,0.0,0.05,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,0
4,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,1
5,0,0,0,0,0,0.25,0.0,0.025,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,1
6,0,0,0,0,0,0.25,0.0,0.025,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,1
7,0,0,0,0,0,0.25,0.0,0.025,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,1
8,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,2
9,0,0,0,0,0,0.25,0.0,0.025,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,2
10,0,0,0,0,0,0.25,0.0,0.025,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,2
11,0,0,0,0,0,0.25,0.0,0.025,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,2
12,0,0,0,0,0,0.0,0.0,0.0,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,3
13,3,0,0,0,3,0.25,0.42857142857142855,0.8392857142857143,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,3
14,0,0,0,0,0,0.25,0.0,0.025,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,3
15,0,0,0,0,0,0.25,0.0,0.025,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,3
16,0,0,0,0,0,0.25,0.0,0.025,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,4
17,4,0,0,0,3,0.25,0.42857142857142855,1.0892857142857142,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,4
18,8,0,0,0,3,0.5,0.42857142857142855,2.114285714285714,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,4
19,6,0,0,0,3,0.75,0.42857142857142855,1.6392857142857142,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,4
20,5,0,0,0,3,1.0,0.42857142857142855,1.4142857142857144,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,5
21,9,0,0,0,3,1.0,0.42857142857142855,2.414285714285714,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,5
22,3,0,0,0,2,1.0,0.2857142857142857,0.8928571428571428,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,5
23,5,0,0,0,3,1.0,0.42857142857142855,1.4142857142857144,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,5
24,8,0,0,0,3,1.0,0.42857142857142855,2.164285714285714,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,6
25,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,6
26,0,0,0,0,0,0.75,0.0,0.07500000000000001,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,6
27,4,0,0,0,2,0.75,0.2857142857142857,1.1178571428571429,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,6
28,7,0,0,0,3,0.75,0.42857142857142855,1.8892857142857142,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,7
29,3,0,0,0,3,0.75,0.42857142857142855,0.8892857142857142,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,7
30,7,0,0,0,4,1.0,0.5714285714285714,1.9357142857142857,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,7
31,6,0,0,0,2,1.0,0.2857142857142857,1.642857142857143,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,7
32,6,0,0,0,4,1.0,0.5714285714285714,1.6857142857142857,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,8
33,7,0,0,0,4,1.0,0.5714285714285714,1.9357142857142857,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,8
34,0,0,0,0,0,0.75,0.0,0.07500000000000001,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,8
35,11,0,0,0,5,0.75,0.7142857142857143,2.9321428571428574,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,8
36,8,0,0,0,5,0.75,0.7142857142857143,2.1821428571428574,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,9
37,6,0,0,0,4,0.75,0.5714285714285714,1.6607142857142856,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,9
38,3,0,0,0,3,1.0,0.42857142857142855,0.9142857142857143,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,9
39,7,0,0,0,4,1.0,0.5714285714285714,1.9357142857142857,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,9
40,10,0,0,0,6,1.0,0.8571428571428571,2.7285714285714286,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,10
41,9,0,0,0,6,1.0,0.8571428571428571,2.4785714285714286,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,10
42,13,0,0,0,6,1.0,0.8571428571428571,3.4785714285714286,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,10
43,10,0,0,0,5,1.0,0.7142857142857143,2.7071428571428573,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,10
44,10,0,0,0,5,1.0,0.7142857142857143,2.7071428571428573,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,11
45,10,0,0,0,5,1.0,0.7142857142857143,2.7071428571428573,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,11
46,9,0,0,0,4,1.0,0.5714285714285714,2.435714285714286,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,11
47,13,0,0,0,7,1.0,1.0,3.5,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,11
48,3,0,0,0,2,1.0,0.2857142857142857,0.8928571428571428,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,12
49,10,0,0,0,3,1.0,0.42857142857142855,2.664285714285714,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,12
50,9,0,0,0,4,1.0,0.5714285714285714,2.435714285714286,Homebrew_brew_jacknagel_at_gmail.com,Homebrew/brew,OSS,12
