week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,4,0,0,0,3,0.25,0.42857142857142855,1.0892857142857142,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,0
1,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,0
2,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,0
3,0,0,0,0,0,0.75,0.0,0.07500000000000001,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,0
4,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,1
5,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,1
6,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,1
7,0,0,0,0,0,0.75,0.0,0.07500000000000001,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,1
8,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,2
9,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,2
10,0,0,0,0,0,0.5,0.0,0.05,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,2
11,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,2
12,0,0,0,0,0,0.5,0.0,0.05,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,3
13,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,3
14,0,0,0,0,0,0.5,0.0,0.05,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,3
15,0,0,0,0,0,0.25,0.0,0.025,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,3
16,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,4
17,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,4
18,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,4
19,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,4
20,0,0,0,0,0,0.75,0.0,0.07500000000000001,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,5
21,0,0,0,0,0,0.5,0.0,0.05,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,5
22,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,5
23,0,0,0,0,0,0.25,0.0,0.025,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,5
24,0,0,0,0,0,0.25,0.0,0.025,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,6
25,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,6
26,0,0,0,0,0,0.25,0.0,0.025,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,6
27,0,0,0,0,0,0.25,0.0,0.025,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,6
28,0,0,0,0,0,0.25,0.0,0.025,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,7
29,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,7
30,0,0,0,0,0,0.25,0.0,0.025,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,7
31,2,0,0,0,2,0.5,0.2857142857142857,0.5928571428571429,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,7
32,0,0,0,0,0,0.5,0.0,0.05,MCreator_MCreator_38427877+goldorion_at_users.noreply.github.com,MCreator/MCreator,OSS,8
