week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,7,0,0,0,2,0.25,0.2857142857142857,1.8178571428571428,OpenRefine_OpenRefine_27856297+dependabot-preview[bot]_at_users.noreply.github.com,OpenRefine/OpenRefine,OSS4SG,0
1,8,0,0,0,3,0.5,0.42857142857142855,2.114285714285714,OpenRefine_OpenRefine_27856297+dependabot-preview[bot]_at_users.noreply.github.com,OpenRefine/OpenRefine,OSS4SG,0
2,11,0,0,0,3,0.75,0.42857142857142855,2.8892857142857142,OpenRefine_OpenRefine_27856297+dependabot-preview[bot]_at_users.noreply.github.com,OpenRefine/OpenRefine,OSS4SG,0
3,10,0,0,0,4,1.0,0.5714285714285714,2.685714285714286,OpenRefine_OpenRefine_27856297+dependabot-preview[bot]_at_users.noreply.github.com,OpenRefine/OpenRefine,OSS4SG,0
4,8,0,0,0,4,1.0,0.5714285714285714,2.185714285714286,OpenRefine_OpenRefine_27856297+dependabot-preview[bot]_at_users.noreply.github.com,OpenRefine/OpenRefine,OSS4SG,1
5,2,0,0,0,1,1.0,0.14285714285714285,0.6214285714285714,OpenRefine_OpenRefine_27856297+dependabot-preview[bot]_at_users.noreply.github.com,OpenRefine/OpenRefine,OSS4SG,1
6,5,0,0,0,3,1.0,0.42857142857142855,1.4142857142857144,OpenRefine_OpenRefine_27856297+dependabot-preview[bot]_at_users.noreply.github.com,OpenRefine/OpenRefine,OSS4SG,1
7,11,0,0,0,4,1.0,0.5714285714285714,2.935714285714286,OpenRefine_OpenRefine_27856297+dependabot-preview[bot]_at_users.noreply.github.com,OpenRefine/OpenRefine,OSS4SG,1
8,2,0,0,0,2,1.0,0.2857142857142857,0.6428571428571428,OpenRefine_OpenRefine_27856297+dependabot-preview[bot]_at_users.noreply.github.com,OpenRefine/OpenRefine,OSS4SG,2
9,3,0,0,0,3,1.0,0.42857142857142855,0.9142857142857143,OpenRefine_OpenRefine_27856297+dependabot-preview[bot]_at_users.noreply.github.com,OpenRefine/OpenRefine,OSS4SG,2
10,9,0,0,0,3,1.0,0.42857142857142855,2.414285714285714,OpenRefine_OpenRefine_27856297+dependabot-preview[bot]_at_users.noreply.github.com,OpenRefine/OpenRefine,OSS4SG,2
11,3,0,0,0,3,1.0,0.42857142857142855,0.9142857142857143,OpenRefine_OpenRefine_27856297+dependabot-preview[bot]_at_users.noreply.github.com,OpenRefine/OpenRefine,OSS4SG,2
