week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,1,2,0,0,3,0.25,0.42857142857142855,0.7392857142857143,RVC-Boss_GPT-SoVITS_36986837+sapphirelab_at_users.noreply.github.com,RVC-Boss/GPT-SoVITS,OSS,0
1,0,0,6,0,1,0.5,0.14285714285714285,0.9714285714285714,RVC-Boss_GPT-SoVITS_36986837+sapphirelab_at_users.noreply.github.com,RVC-Boss/GPT-SoVITS,OSS,0
2,0,0,1,0,1,0.75,0.14285714285714285,0.24642857142857144,RVC-Boss_GPT-SoVITS_36986837+sapphirelab_at_users.noreply.github.com,RVC-Boss/GPT-SoVITS,OSS,0
3,0,0,0,0,0,0.75,0.0,0.07500000000000001,RVC-Boss_GPT-SoVITS_36986837+sapphirelab_at_users.noreply.github.com,RVC-Boss/GPT-SoVITS,OSS,0
4,0,1,2,0,2,0.75,0.2857142857142857,0.6178571428571429,RVC-Boss_GPT-SoVITS_36986837+sapphirelab_at_users.noreply.github.com,RVC-Boss/GPT-SoVITS,OSS,1
5,0,0,0,0,0,0.5,0.0,0.05,RVC-Boss_GPT-SoVITS_36986837+sapphirelab_at_users.noreply.github.com,RVC-Boss/GPT-SoVITS,OSS,1
6,0,0,0,0,0,0.25,0.0,0.025,RVC-Boss_GPT-SoVITS_36986837+sapphirelab_at_users.noreply.github.com,RVC-Boss/GPT-SoVITS,OSS,1
7,0,0,0,0,0,0.25,0.0,0.025,RVC-Boss_GPT-SoVITS_36986837+sapphirelab_at_users.noreply.github.com,RVC-Boss/GPT-SoVITS,OSS,1
8,1,2,1,0,1,0.25,0.14285714285714285,0.8464285714285715,RVC-Boss_GPT-SoVITS_36986837+sapphirelab_at_users.noreply.github.com,RVC-Boss/GPT-SoVITS,OSS,2
9,0,1,0,0,1,0.5,0.14285714285714285,0.27142857142857146,RVC-Boss_GPT-SoVITS_36986837+sapphirelab_at_users.noreply.github.com,RVC-Boss/GPT-SoVITS,OSS,2
10,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,RVC-Boss_GPT-SoVITS_36986837+sapphirelab_at_users.noreply.github.com,RVC-Boss/GPT-SoVITS,OSS,2
11,0,0,0,0,0,0.75,0.0,0.07500000000000001,RVC-Boss_GPT-SoVITS_36986837+sapphirelab_at_users.noreply.github.com,RVC-Boss/GPT-SoVITS,OSS,2
12,0,0,0,0,0,0.5,0.0,0.05,RVC-Boss_GPT-SoVITS_36986837+sapphirelab_at_users.noreply.github.com,RVC-Boss/GPT-SoVITS,OSS,3
13,0,0,0,0,0,0.25,0.0,0.025,RVC-Boss_GPT-SoVITS_36986837+sapphirelab_at_users.noreply.github.com,RVC-Boss/GPT-SoVITS,OSS,3
14,1,1,0,0,2,0.25,0.2857142857142857,0.5178571428571429,RVC-Boss_GPT-SoVITS_36986837+sapphirelab_at_users.noreply.github.com,RVC-Boss/GPT-SoVITS,OSS,3
15,0,0,0,0,0,0.25,0.0,0.025,RVC-Boss_GPT-SoVITS_36986837+sapphirelab_at_users.noreply.github.com,RVC-Boss/GPT-SoVITS,OSS,3
16,0,0,0,0,0,0.25,0.0,0.025,RVC-Boss_GPT-SoVITS_36986837+sapphirelab_at_users.noreply.github.com,RVC-Boss/GPT-SoVITS,OSS,4
17,0,0,0,0,0,0.25,0.0,0.025,RVC-Boss_GPT-SoVITS_36986837+sapphirelab_at_users.noreply.github.com,RVC-Boss/GPT-SoVITS,OSS,4
18,0,0,0,0,0,0.0,0.0,0.0,RVC-Boss_GPT-SoVITS_36986837+sapphirelab_at_users.noreply.github.com,RVC-Boss/GPT-SoVITS,OSS,4
19,0,0,0,0,0,0.0,0.0,0.0,RVC-Boss_GPT-SoVITS_36986837+sapphirelab_at_users.noreply.github.com,RVC-Boss/GPT-SoVITS,OSS,4
20,0,0,0,0,0,0.0,0.0,0.0,RVC-Boss_GPT-SoVITS_36986837+sapphirelab_at_users.noreply.github.com,RVC-Boss/GPT-SoVITS,OSS,5
21,0,0,0,0,0,0.0,0.0,0.0,RVC-Boss_GPT-SoVITS_36986837+sapphirelab_at_users.noreply.github.com,RVC-Boss/GPT-SoVITS,OSS,5
22,2,2,2,0,3,0.25,0.42857142857142855,1.2892857142857141,RVC-Boss_GPT-SoVITS_36986837+sapphirelab_at_users.noreply.github.com,RVC-Boss/GPT-SoVITS,OSS,5
