week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,4,0,0,0,4,0.25,0.5714285714285714,1.1107142857142855,Recidiviz_pulse-data_terin_at_recidiviz.org,Recidiviz/pulse-data,OSS4SG,0
1,0,0,0,0,0,0.25,0.0,0.025,Recidiviz_pulse-data_terin_at_recidiviz.org,Recidiviz/pulse-data,OSS4SG,0
2,3,0,0,0,2,0.5,0.2857142857142857,0.8428571428571429,Recidiviz_pulse-data_terin_at_recidiviz.org,Recidiviz/pulse-data,OSS4SG,0
3,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,Recidiviz_pulse-data_terin_at_recidiviz.org,Recidiviz/pulse-data,OSS4SG,0
4,5,0,0,0,3,0.75,0.42857142857142855,1.3892857142857142,Recidiviz_pulse-data_terin_at_recidiviz.org,Recidiviz/pulse-data,OSS4SG,1
5,5,0,0,0,4,1.0,0.5714285714285714,1.4357142857142857,Recidiviz_pulse-data_terin_at_recidiviz.org,Recidiviz/pulse-data,OSS4SG,1
6,9,0,0,0,3,1.0,0.42857142857142855,2.414285714285714,Recidiviz_pulse-data_terin_at_recidiviz.org,Recidiviz/pulse-data,OSS4SG,1
7,7,0,0,0,4,1.0,0.5714285714285714,1.9357142857142857,Recidiviz_pulse-data_terin_at_recidiviz.org,Recidiviz/pulse-data,OSS4SG,1
8,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,Recidiviz_pulse-data_terin_at_recidiviz.org,Recidiviz/pulse-data,OSS4SG,2
9,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,Recidiviz_pulse-data_terin_at_recidiviz.org,Recidiviz/pulse-data,OSS4SG,2
10,2,0,0,0,2,1.0,0.2857142857142857,0.6428571428571428,Recidiviz_pulse-data_terin_at_recidiviz.org,Recidiviz/pulse-data,OSS4SG,2
11,6,0,0,0,3,1.0,0.42857142857142855,1.6642857142857144,Recidiviz_pulse-data_terin_at_recidiviz.org,Recidiviz/pulse-data,OSS4SG,2
12,0,0,0,0,0,0.75,0.0,0.07500000000000001,Recidiviz_pulse-data_terin_at_recidiviz.org,Recidiviz/pulse-data,OSS4SG,3
13,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,Recidiviz_pulse-data_terin_at_recidiviz.org,Recidiviz/pulse-data,OSS4SG,3
14,5,0,0,0,4,0.75,0.5714285714285714,1.4107142857142856,Recidiviz_pulse-data_terin_at_recidiviz.org,Recidiviz/pulse-data,OSS4SG,3
