week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,6,0,0,0,3,0.25,0.42857142857142855,1.5892857142857142,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,0
1,4,0,0,0,1,0.5,0.14285714285714285,1.0714285714285714,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,0
2,2,0,0,0,1,0.75,0.14285714285714285,0.5964285714285715,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,0
3,0,0,0,0,0,0.75,0.0,0.07500000000000001,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,0
4,0,0,0,0,0,0.5,0.0,0.05,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,1
5,0,0,0,0,0,0.25,0.0,0.025,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,1
6,2,0,0,0,1,0.25,0.14285714285714285,0.5464285714285715,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,1
7,0,0,0,0,0,0.25,0.0,0.025,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,1
8,0,0,0,0,0,0.25,0.0,0.025,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,2
9,0,0,0,0,0,0.25,0.0,0.025,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,2
10,0,0,0,0,0,0.0,0.0,0.0,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,2
11,2,0,0,0,1,0.25,0.14285714285714285,0.5464285714285715,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,2
12,0,0,0,0,0,0.25,0.0,0.025,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,3
13,0,0,0,0,0,0.25,0.0,0.025,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,3
14,0,0,0,0,0,0.25,0.0,0.025,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,3
15,0,0,0,0,0,0.0,0.0,0.0,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,3
16,0,0,0,0,0,0.0,0.0,0.0,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,4
17,2,0,0,0,1,0.25,0.14285714285714285,0.5464285714285715,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,4
18,4,0,0,0,1,0.5,0.14285714285714285,1.0714285714285714,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,4
19,4,0,0,0,2,0.75,0.2857142857142857,1.1178571428571429,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,4
20,0,0,0,0,0,0.75,0.0,0.07500000000000001,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,5
21,0,0,0,0,0,0.5,0.0,0.05,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,5
22,0,0,0,0,0,0.25,0.0,0.025,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,5
23,0,0,0,0,0,0.0,0.0,0.0,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,5
24,0,0,0,0,0,0.0,0.0,0.0,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,6
25,0,0,0,0,0,0.0,0.0,0.0,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,6
26,0,0,0,0,0,0.0,0.0,0.0,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,6
27,2,0,0,0,1,0.25,0.14285714285714285,0.5464285714285715,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,6
28,0,0,0,0,0,0.25,0.0,0.025,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,7
29,0,0,0,0,0,0.25,0.0,0.025,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,7
30,8,0,0,0,2,0.5,0.2857142857142857,2.0928571428571425,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,7
31,0,0,0,0,0,0.25,0.0,0.025,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,7
32,0,0,0,0,0,0.25,0.0,0.025,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,8
33,0,0,0,0,0,0.25,0.0,0.025,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,8
34,2,0,0,0,1,0.25,0.14285714285714285,0.5464285714285715,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,8
35,2,1,0,0,2,0.5,0.2857142857142857,0.7928571428571428,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,8
36,0,1,0,0,1,0.75,0.14285714285714285,0.2964285714285715,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,9
37,4,0,0,0,2,1.0,0.2857142857142857,1.142857142857143,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,9
38,0,0,0,0,0,0.75,0.0,0.07500000000000001,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,9
39,0,2,4,0,2,0.75,0.2857142857142857,1.1178571428571429,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,9
40,2,0,0,0,1,0.75,0.14285714285714285,0.5964285714285715,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,10
41,0,1,2,0,1,0.75,0.14285714285714285,0.5964285714285715,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,10
42,2,0,0,0,1,1.0,0.14285714285714285,0.6214285714285714,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,10
43,6,2,4,0,3,1.0,0.42857142857142855,2.664285714285714,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,10
44,0,2,2,0,2,1.0,0.2857142857142857,0.8428571428571427,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,11
45,4,0,0,0,1,1.0,0.14285714285714285,1.1214285714285714,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,11
46,2,2,0,0,3,1.0,0.42857142857142855,1.0642857142857143,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,11
47,0,1,1,0,1,1.0,0.14285714285714285,0.4714285714285714,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,11
48,4,1,1,0,2,1.0,0.2857142857142857,1.4928571428571429,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,12
49,2,0,0,0,1,1.0,0.14285714285714285,0.6214285714285714,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,12
50,2,3,8,0,3,1.0,0.42857142857142855,2.464285714285714,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,12
51,0,0,0,0,0,0.75,0.0,0.07500000000000001,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,12
52,6,4,0,0,3,0.75,0.42857142857142855,2.439285714285714,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,13
53,6,1,1,0,3,0.75,0.42857142857142855,1.989285714285714,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,13
54,8,3,1,0,4,0.75,0.5714285714285714,2.910714285714286,SFDigitalServices_sf-dahlia-web_36685920+chadbrokaw_at_users.noreply.github.com,SFDigitalServices/sf-dahlia-web,OSS4SG,13
