week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
-2,0,0,2,2,1,0.25,0.14285714285714285,0.6464285714285715,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,-1
-1,0,0,0,0,0,0.25,0.0,0.025,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,-1
0,1,1,0,1,3,0.5,0.42857142857142855,0.7142857142857143,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,0
1,1,1,1,0,2,0.75,0.2857142857142857,0.7178571428571427,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,0
2,0,0,0,2,1,0.75,0.14285714285714285,0.3964285714285714,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,0
3,0,0,0,0,0,0.75,0.0,0.07500000000000001,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,0
4,0,0,0,0,0,0.5,0.0,0.05,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,1
5,0,0,0,0,0,0.25,0.0,0.025,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,1
6,0,0,0,0,0,0.0,0.0,0.0,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,1
7,0,0,0,1,1,0.25,0.14285714285714285,0.19642857142857142,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,1
8,0,0,0,1,1,0.5,0.14285714285714285,0.22142857142857142,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,2
9,0,0,0,0,0,0.5,0.0,0.05,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,2
10,0,0,0,0,0,0.5,0.0,0.05,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,2
11,0,0,0,0,0,0.25,0.0,0.025,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,2
12,0,0,0,0,0,0.0,0.0,0.0,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,3
13,0,0,0,0,0,0.0,0.0,0.0,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,3
14,0,0,0,0,0,0.0,0.0,0.0,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,3
15,0,0,0,0,0,0.0,0.0,0.0,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,3
16,0,0,0,0,0,0.0,0.0,0.0,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,4
17,0,0,0,0,0,0.0,0.0,0.0,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,4
18,0,0,0,0,0,0.0,0.0,0.0,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,4
19,0,0,0,0,0,0.0,0.0,0.0,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,4
20,0,0,0,0,0,0.0,0.0,0.0,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,5
21,0,0,0,0,0,0.0,0.0,0.0,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,5
22,0,0,0,0,0,0.0,0.0,0.0,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,5
23,0,0,0,0,0,0.0,0.0,0.0,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,5
24,4,0,0,6,2,0.25,0.2857142857142857,1.9678571428571427,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,6
25,3,0,0,2,1,0.5,0.14285714285714285,1.1214285714285714,ShelterTechSF_askdarcel-web_df_at_derekfidler.com,ShelterTechSF/askdarcel-web,OSS4SG,6
