week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,3,0,0,0,1,0.25,0.14285714285714285,0.7964285714285715,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,0
1,0,0,0,0,0,0.25,0.0,0.025,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,0
2,2,0,0,0,1,0.5,0.14285714285714285,0.5714285714285715,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,0
3,0,0,0,0,0,0.5,0.0,0.05,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,0
4,0,0,0,0,0,0.25,0.0,0.025,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,1
5,0,0,0,0,0,0.25,0.0,0.025,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,1
6,0,0,0,0,0,0.0,0.0,0.0,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,1
7,0,0,0,0,0,0.0,0.0,0.0,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,1
8,14,0,0,0,6,0.25,0.8571428571428571,3.6535714285714285,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,2
9,17,0,0,0,4,0.5,0.5714285714285714,4.385714285714285,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,2
10,3,0,0,0,3,0.75,0.42857142857142855,0.8892857142857142,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,2
11,18,0,0,0,6,1.0,0.8571428571428571,4.728571428571428,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,2
12,12,0,0,0,2,1.0,0.2857142857142857,3.142857142857143,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,3
13,19,0,0,0,4,1.0,0.5714285714285714,4.935714285714285,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,3
14,15,0,0,0,4,1.0,0.5714285714285714,3.935714285714286,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,3
15,7,0,0,0,2,1.0,0.2857142857142857,1.892857142857143,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,3
16,19,0,0,0,4,1.0,0.5714285714285714,4.935714285714285,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,4
17,31,0,0,0,5,1.0,0.7142857142857143,7.957142857142856,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,4
18,31,0,0,0,4,1.0,0.5714285714285714,7.935714285714285,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,4
19,33,0,0,0,4,1.0,0.5714285714285714,8.435714285714285,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,4
20,40,0,0,0,7,1.0,1.0,10.25,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,5
21,7,0,0,0,1,1.0,0.14285714285714285,1.8714285714285714,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,5
22,7,0,0,0,1,1.0,0.14285714285714285,1.8714285714285714,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,5
23,14,0,0,0,2,1.0,0.2857142857142857,3.642857142857143,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,5
24,4,0,0,0,1,1.0,0.14285714285714285,1.1214285714285714,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,6
25,4,0,0,0,1,1.0,0.14285714285714285,1.1214285714285714,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,6
26,28,0,0,0,3,1.0,0.42857142857142855,7.164285714285714,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,6
27,9,0,0,0,4,1.0,0.5714285714285714,2.435714285714286,WildMeOrg_Wildbook_me_at_drew.computer,WildMeOrg/Wildbook,OSS4SG,6
