week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
-2,0,1,4,0,1,0.25,0.14285714285714285,0.8464285714285715,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,-1
-1,0,1,17,0,1,0.5,0.14285714285714285,2.821428571428571,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,-1
0,1,1,4,1,3,0.75,0.42857142857142855,1.3392857142857142,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,0
1,2,2,3,0,3,1.0,0.42857142857142855,1.5142857142857145,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,0
2,1,1,0,0,2,1.0,0.2857142857142857,0.5928571428571429,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,0
3,2,1,20,1,2,1.0,0.2857142857142857,3.992857142857143,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,0
4,2,3,4,0,2,1.0,0.2857142857142857,1.8428571428571432,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,1
5,4,3,13,1,3,1.0,0.42857142857142855,3.8642857142857143,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,1
6,3,2,0,1,3,1.0,0.42857142857142855,1.4642857142857142,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,1
7,0,0,0,0,0,0.75,0.0,0.07500000000000001,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,1
8,0,1,4,1,3,0.75,0.42857142857142855,1.0892857142857142,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,2
9,1,1,13,0,2,0.75,0.2857142857142857,2.517857142857143,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,2
10,1,1,3,1,2,0.75,0.2857142857142857,1.1678571428571427,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,2
11,1,1,8,0,2,1.0,0.2857142857142857,1.792857142857143,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,2
12,2,3,6,1,4,1.0,0.5714285714285714,2.335714285714286,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,3
13,3,3,11,1,4,1.0,0.5714285714285714,3.335714285714286,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,3
14,5,3,0,0,3,1.0,0.42857142857142855,2.0142857142857142,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,3
15,1,2,3,0,2,1.0,0.2857142857142857,1.242857142857143,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,3
16,4,4,3,1,4,1.0,0.5714285714285714,2.585714285714286,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,4
17,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,4
18,1,1,0,1,1,1.0,0.14285714285714285,0.7214285714285714,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,4
19,0,1,14,0,1,1.0,0.14285714285714285,2.4214285714285717,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,4
20,2,2,5,1,2,1.0,0.2857142857142857,1.9428571428571428,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,5
21,3,3,1,0,2,1.0,0.2857142857142857,1.642857142857143,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,5
22,3,3,8,1,4,1.0,0.5714285714285714,2.8857142857142857,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,5
23,2,1,2,0,2,1.0,0.2857142857142857,1.142857142857143,ampproject_amphtml_cvializ_at_users.noreply.github.com,ampproject/amphtml,OSS,5
