week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
-5,0,0,4,1,1,0.25,0.14285714285714285,0.7964285714285715,ampproject_amphtml_keithwrightbos_at_users.noreply.github.com,ampproject/amphtml,OSS,-2
-4,0,0,0,0,0,0.25,0.0,0.025,ampproject_amphtml_keithwrightbos_at_users.noreply.github.com,ampproject/amphtml,OSS,-1
-3,0,0,0,0,0,0.25,0.0,0.025,ampproject_amphtml_keithwrightbos_at_users.noreply.github.com,ampproject/amphtml,OSS,-1
-2,0,0,0,0,0,0.25,0.0,0.025,ampproject_amphtml_keithwrightbos_at_users.noreply.github.com,ampproject/amphtml,OSS,-1
-1,0,0,3,0,1,0.25,0.14285714285714285,0.4964285714285714,ampproject_amphtml_keithwrightbos_at_users.noreply.github.com,ampproject/amphtml,OSS,-1
0,2,3,9,1,4,0.5,0.5714285714285714,2.7357142857142858,ampproject_amphtml_keithwrightbos_at_users.noreply.github.com,ampproject/amphtml,OSS,0
1,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,ampproject_amphtml_keithwrightbos_at_users.noreply.github.com,ampproject/amphtml,OSS,0
2,0,0,0,0,0,0.75,0.0,0.07500000000000001,ampproject_amphtml_keithwrightbos_at_users.noreply.github.com,ampproject/amphtml,OSS,0
3,0,0,0,0,0,0.5,0.0,0.05,ampproject_amphtml_keithwrightbos_at_users.noreply.github.com,ampproject/amphtml,OSS,0
4,0,0,0,0,0,0.25,0.0,0.025,ampproject_amphtml_keithwrightbos_at_users.noreply.github.com,ampproject/amphtml,OSS,1
5,0,1,9,0,1,0.25,0.14285714285714285,1.596428571428571,ampproject_amphtml_keithwrightbos_at_users.noreply.github.com,ampproject/amphtml,OSS,1
6,0,0,2,1,1,0.5,0.14285714285714285,0.5214285714285714,ampproject_amphtml_keithwrightbos_at_users.noreply.github.com,ampproject/amphtml,OSS,1
7,1,1,19,0,2,0.75,0.2857142857142857,3.417857142857143,ampproject_amphtml_keithwrightbos_at_users.noreply.github.com,ampproject/amphtml,OSS,1
8,1,1,8,0,2,1.0,0.2857142857142857,1.792857142857143,ampproject_amphtml_keithwrightbos_at_users.noreply.github.com,ampproject/amphtml,OSS,2
9,0,0,1,1,1,1.0,0.14285714285714285,0.4214285714285714,ampproject_amphtml_keithwrightbos_at_users.noreply.github.com,ampproject/amphtml,OSS,2
10,2,1,0,0,2,1.0,0.2857142857142857,0.8428571428571427,ampproject_amphtml_keithwrightbos_at_users.noreply.github.com,ampproject/amphtml,OSS,2
11,0,0,0,0,0,0.75,0.0,0.07500000000000001,ampproject_amphtml_keithwrightbos_at_users.noreply.github.com,ampproject/amphtml,OSS,2
12,0,0,0,0,0,0.5,0.0,0.05,ampproject_amphtml_keithwrightbos_at_users.noreply.github.com,ampproject/amphtml,OSS,3
13,0,1,8,0,1,0.5,0.14285714285714285,1.4714285714285713,ampproject_amphtml_keithwrightbos_at_users.noreply.github.com,ampproject/amphtml,OSS,3
14,4,3,5,0,5,0.5,0.7142857142857143,2.507142857142857,ampproject_amphtml_keithwrightbos_at_users.noreply.github.com,ampproject/amphtml,OSS,3
15,0,0,0,0,0,0.5,0.0,0.05,ampproject_amphtml_keithwrightbos_at_users.noreply.github.com,ampproject/amphtml,OSS,3
16,0,1,21,0,2,0.75,0.2857142857142857,3.467857142857143,ampproject_amphtml_keithwrightbos_at_users.noreply.github.com,ampproject/amphtml,OSS,4
