week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,aws_s2n-tls_40477596+ttjsu-aws_at_users.noreply.github.com,aws/s2n-tls,OSS,0
1,0,0,0,0,0,0.25,0.0,0.025,aws_s2n-tls_40477596+ttjsu-aws_at_users.noreply.github.com,aws/s2n-tls,OSS,0
2,0,0,0,0,0,0.25,0.0,0.025,aws_s2n-tls_40477596+ttjsu-aws_at_users.noreply.github.com,aws/s2n-tls,OSS,0
3,0,0,0,0,0,0.25,0.0,0.025,aws_s2n-tls_40477596+ttjsu-aws_at_users.noreply.github.com,aws/s2n-tls,OSS,0
4,0,0,0,0,0,0.0,0.0,0.0,aws_s2n-tls_40477596+ttjsu-aws_at_users.noreply.github.com,aws/s2n-tls,OSS,1
5,0,0,0,0,0,0.0,0.0,0.0,aws_s2n-tls_40477596+ttjsu-aws_at_users.noreply.github.com,aws/s2n-tls,OSS,1
6,0,0,0,0,0,0.0,0.0,0.0,aws_s2n-tls_40477596+ttjsu-aws_at_users.noreply.github.com,aws/s2n-tls,OSS,1
7,0,0,0,0,0,0.0,0.0,0.0,aws_s2n-tls_40477596+ttjsu-aws_at_users.noreply.github.com,aws/s2n-tls,OSS,1
8,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,aws_s2n-tls_40477596+ttjsu-aws_at_users.noreply.github.com,aws/s2n-tls,OSS,2
9,0,0,0,0,0,0.25,0.0,0.025,aws_s2n-tls_40477596+ttjsu-aws_at_users.noreply.github.com,aws/s2n-tls,OSS,2
10,0,0,0,0,0,0.25,0.0,0.025,aws_s2n-tls_40477596+ttjsu-aws_at_users.noreply.github.com,aws/s2n-tls,OSS,2
11,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,aws_s2n-tls_40477596+ttjsu-aws_at_users.noreply.github.com,aws/s2n-tls,OSS,2
12,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,aws_s2n-tls_40477596+ttjsu-aws_at_users.noreply.github.com,aws/s2n-tls,OSS,3
13,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,aws_s2n-tls_40477596+ttjsu-aws_at_users.noreply.github.com,aws/s2n-tls,OSS,3
14,0,0,0,0,0,0.75,0.0,0.07500000000000001,aws_s2n-tls_40477596+ttjsu-aws_at_users.noreply.github.com,aws/s2n-tls,OSS,3
15,0,0,0,0,0,0.5,0.0,0.05,aws_s2n-tls_40477596+ttjsu-aws_at_users.noreply.github.com,aws/s2n-tls,OSS,3
16,0,0,0,0,0,0.25,0.0,0.025,aws_s2n-tls_40477596+ttjsu-aws_at_users.noreply.github.com,aws/s2n-tls,OSS,4
17,0,0,0,0,0,0.0,0.0,0.0,aws_s2n-tls_40477596+ttjsu-aws_at_users.noreply.github.com,aws/s2n-tls,OSS,4
18,0,0,0,0,0,0.0,0.0,0.0,aws_s2n-tls_40477596+ttjsu-aws_at_users.noreply.github.com,aws/s2n-tls,OSS,4
19,0,1,1,0,2,0.25,0.2857142857142857,0.41785714285714287,aws_s2n-tls_40477596+ttjsu-aws_at_users.noreply.github.com,aws/s2n-tls,OSS,4
