week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,3,0,0,0,2,0.25,0.2857142857142857,0.8178571428571428,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,0
1,0,0,0,0,0,0.25,0.0,0.025,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,0
2,0,0,0,0,0,0.25,0.0,0.025,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,0
3,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,0
4,0,1,4,0,1,0.5,0.14285714285714285,0.8714285714285716,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,1
5,0,0,0,0,1,0.5,0.14285714285714285,0.07142857142857142,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,1
6,1,0,0,1,1,0.75,0.14285714285714285,0.49642857142857144,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,1
7,0,0,0,0,0,0.5,0.0,0.05,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,1
8,1,1,2,0,2,0.5,0.2857142857142857,0.8428571428571429,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,2
9,0,1,0,0,1,0.75,0.14285714285714285,0.2964285714285715,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,2
10,0,1,2,0,1,0.75,0.14285714285714285,0.5964285714285715,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,2
11,2,0,1,2,4,1.0,0.5714285714285714,1.1357142857142857,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,2
12,0,0,1,2,1,1.0,0.14285714285714285,0.5714285714285714,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,3
13,0,0,0,0,0,0.75,0.0,0.07500000000000001,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,3
14,0,1,3,1,2,0.75,0.2857142857142857,0.9178571428571427,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,3
15,1,1,1,0,2,0.75,0.2857142857142857,0.7178571428571427,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,3
16,2,1,7,2,3,0.75,0.42857142857142855,2.189285714285714,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,4
17,0,1,7,0,1,1.0,0.14285714285714285,1.3714285714285714,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,4
18,0,0,1,1,1,1.0,0.14285714285714285,0.4214285714285714,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,4
19,2,2,10,1,4,1.0,0.5714285714285714,2.7357142857142858,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,4
20,0,0,0,0,0,0.75,0.0,0.07500000000000001,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,5
21,1,2,6,0,3,0.75,0.42857142857142855,1.689285714285714,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,5
22,2,1,0,0,2,0.75,0.2857142857142857,0.8178571428571428,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,5
23,1,1,1,1,2,0.75,0.2857142857142857,0.8678571428571429,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,5
24,0,0,0,0,0,0.75,0.0,0.07500000000000001,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,6
25,0,1,6,1,1,0.75,0.14285714285714285,1.346428571428571,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,6
26,2,1,1,0,4,0.75,0.5714285714285714,1.0107142857142857,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,6
27,0,0,0,0,0,0.5,0.0,0.05,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,6
28,0,0,0,0,0,0.5,0.0,0.05,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,7
29,1,1,2,1,3,0.5,0.42857142857142855,1.0142857142857142,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,7
30,0,1,2,0,1,0.5,0.14285714285714285,0.5714285714285715,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,7
31,0,0,1,1,1,0.75,0.14285714285714285,0.3964285714285714,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,7
32,0,0,0,0,0,0.75,0.0,0.07500000000000001,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,8
33,1,0,1,1,1,0.75,0.14285714285714285,0.6464285714285716,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,8
34,0,0,0,0,0,0.5,0.0,0.05,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,8
35,0,0,9,0,1,0.5,0.14285714285714285,1.4214285714285713,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,8
36,0,1,2,0,1,0.75,0.14285714285714285,0.5964285714285715,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,9
37,1,0,1,0,2,0.75,0.2857142857142857,0.5178571428571429,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,9
38,1,1,3,0,2,1.0,0.2857142857142857,1.0428571428571427,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,9
39,0,0,0,0,0,0.75,0.0,0.07500000000000001,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,9
40,1,1,0,0,1,0.75,0.14285714285714285,0.5464285714285715,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,10
41,0,1,9,0,1,0.75,0.14285714285714285,1.6464285714285711,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,10
42,0,0,0,0,0,0.5,0.0,0.05,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,10
43,0,0,0,0,0,0.5,0.0,0.05,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,10
44,1,1,3,2,3,0.5,0.42857142857142855,1.3142857142857143,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,11
45,1,1,2,0,2,0.5,0.2857142857142857,0.8428571428571429,aws_s2n-tls_59030281+maddeleine_at_users.noreply.github.com,aws/s2n-tls,OSS,11
