week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,1,2,4,1,3,0.25,0.42857142857142855,1.489285714285714,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,0
1,1,1,4,0,2,0.5,0.2857142857142857,1.142857142857143,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,0
2,1,1,10,0,3,0.75,0.42857142857142855,2.0892857142857144,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,0
3,1,0,6,0,2,1.0,0.2857142857142857,1.292857142857143,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,0
4,0,0,0,1,1,1.0,0.14285714285714285,0.27142857142857146,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,1
5,0,1,18,1,1,1.0,0.14285714285714285,3.1714285714285713,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,1
6,0,0,0,0,0,0.75,0.0,0.07500000000000001,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,1
7,1,0,0,1,2,0.75,0.2857142857142857,0.5178571428571429,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,1
8,1,5,19,0,4,0.75,0.5714285714285714,4.260714285714285,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,2
9,3,2,19,0,4,0.75,0.5714285714285714,4.160714285714286,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,2
10,0,0,0,0,0,0.75,0.0,0.07500000000000001,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,2
11,2,2,8,0,3,0.75,0.42857142857142855,2.2392857142857148,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,2
12,0,0,0,0,0,0.5,0.0,0.05,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,3
13,2,0,0,0,1,0.5,0.14285714285714285,0.5714285714285715,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,3
14,2,2,2,0,2,0.75,0.2857142857142857,1.3178571428571428,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,3
15,0,0,0,0,0,0.5,0.0,0.05,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,3
16,6,5,0,0,5,0.75,0.7142857142857143,2.6821428571428574,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,4
17,2,2,0,0,3,0.75,0.42857142857142855,1.0392857142857144,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,4
18,2,2,0,1,2,0.75,0.2857142857142857,1.167857142857143,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,4
19,0,0,0,0,0,0.75,0.0,0.07500000000000001,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,4
20,0,0,0,0,0,0.5,0.0,0.05,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,5
21,0,1,13,0,2,0.5,0.2857142857142857,2.2428571428571424,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,5
22,2,2,0,0,3,0.5,0.42857142857142855,1.0142857142857142,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,5
23,0,0,0,0,0,0.5,0.0,0.05,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,5
24,0,0,0,0,1,0.5,0.14285714285714285,0.07142857142857142,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,6
25,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,6
26,0,0,0,0,0,0.25,0.0,0.025,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,6
27,5,5,0,0,4,0.5,0.5714285714285714,2.3857142857142857,aws_s2n-tls_boquanfang3_at_gmail.com,aws/s2n-tls,OSS,6
