week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,0
1,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,0
2,0,0,0,0,0,0.5,0.0,0.05,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,0
3,8,0,0,0,5,0.75,0.7142857142857143,2.1821428571428574,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,0
4,6,0,0,0,4,0.75,0.5714285714285714,1.6607142857142856,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,1
5,3,0,0,0,3,0.75,0.42857142857142855,0.8892857142857142,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,1
6,7,0,0,0,4,1.0,0.5714285714285714,1.9357142857142857,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,1
7,5,0,0,0,3,1.0,0.42857142857142855,1.4142857142857144,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,1
8,4,0,0,0,2,1.0,0.2857142857142857,1.142857142857143,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,2
9,2,0,0,0,2,1.0,0.2857142857142857,0.6428571428571428,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,2
10,5,0,0,0,4,1.0,0.5714285714285714,1.4357142857142857,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,2
11,5,0,0,0,3,1.0,0.42857142857142855,1.4142857142857144,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,2
12,2,0,0,0,2,1.0,0.2857142857142857,0.6428571428571428,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,3
13,6,0,0,0,4,1.0,0.5714285714285714,1.6857142857142857,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,3
14,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,3
15,3,0,0,0,2,1.0,0.2857142857142857,0.8928571428571428,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,3
16,12,0,0,0,5,1.0,0.7142857142857143,3.2071428571428573,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,4
17,12,0,0,0,5,1.0,0.7142857142857143,3.2071428571428573,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,4
18,3,0,0,0,2,1.0,0.2857142857142857,0.8928571428571428,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,4
19,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,4
20,0,0,0,0,0,0.75,0.0,0.07500000000000001,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,5
21,4,0,0,0,3,0.75,0.42857142857142855,1.1392857142857142,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,5
22,6,0,0,0,3,0.75,0.42857142857142855,1.6392857142857142,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,5
23,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,5
24,3,0,0,0,2,1.0,0.2857142857142857,0.8928571428571428,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,6
25,5,0,0,0,3,1.0,0.42857142857142855,1.4142857142857144,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,6
26,0,0,0,0,0,0.75,0.0,0.07500000000000001,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,6
27,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,bazelbuild_bazel_shahan_at_google.com,bazelbuild/bazel,OSS,6
