week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,3,0,0,0,3,0.25,0.42857142857142855,0.8392857142857143,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,0
1,0,0,0,0,0,0.25,0.0,0.025,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,0
2,4,0,0,0,3,0.5,0.42857142857142855,1.1142857142857143,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,0
3,2,0,0,0,2,0.75,0.2857142857142857,0.6178571428571429,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,0
4,9,0,0,0,3,0.75,0.42857142857142855,2.3892857142857142,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,1
5,3,0,0,0,2,1.0,0.2857142857142857,0.8928571428571428,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,1
6,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,1
7,4,0,0,0,2,1.0,0.2857142857142857,1.142857142857143,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,1
8,4,0,0,0,2,1.0,0.2857142857142857,1.142857142857143,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,2
9,2,0,0,0,2,1.0,0.2857142857142857,0.6428571428571428,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,2
10,0,0,0,0,0,0.75,0.0,0.07500000000000001,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,2
11,3,0,0,0,2,0.75,0.2857142857142857,0.8678571428571429,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,2
12,2,0,0,0,1,0.75,0.14285714285714285,0.5964285714285715,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,3
13,0,0,0,0,0,0.5,0.0,0.05,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,3
14,3,0,0,0,2,0.75,0.2857142857142857,0.8678571428571429,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,3
15,3,0,0,0,3,0.75,0.42857142857142855,0.8892857142857142,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,3
16,4,0,0,0,2,0.75,0.2857142857142857,1.1178571428571429,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,4
17,4,0,0,0,2,1.0,0.2857142857142857,1.142857142857143,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,4
18,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,4
19,3,0,0,0,2,1.0,0.2857142857142857,0.8928571428571428,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,4
20,9,0,0,0,3,1.0,0.42857142857142855,2.414285714285714,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,5
21,10,0,0,0,3,1.0,0.42857142857142855,2.664285714285714,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,5
22,4,0,0,0,2,1.0,0.2857142857142857,1.142857142857143,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,5
23,6,0,0,0,3,1.0,0.42857142857142855,1.6642857142857144,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,5
24,6,0,0,0,2,1.0,0.2857142857142857,1.642857142857143,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,6
25,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,6
26,7,0,0,0,3,1.0,0.42857142857142855,1.9142857142857144,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,6
27,0,0,0,0,0,0.75,0.0,0.07500000000000001,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,6
28,3,0,0,0,2,0.75,0.2857142857142857,0.8678571428571429,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,7
29,10,0,0,0,3,0.75,0.42857142857142855,2.6392857142857142,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,7
30,10,0,0,0,3,0.75,0.42857142857142855,2.6392857142857142,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,7
31,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,7
32,0,0,0,0,0,0.75,0.0,0.07500000000000001,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,8
33,6,0,0,0,5,0.75,0.7142857142857143,1.6821428571428572,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,8
34,11,0,0,0,5,0.75,0.7142857142857143,2.9321428571428574,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,8
35,7,0,0,0,4,0.75,0.5714285714285714,1.9107142857142856,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,8
36,4,0,0,0,3,1.0,0.42857142857142855,1.1642857142857144,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,9
37,6,0,0,0,4,1.0,0.5714285714285714,1.6857142857142857,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,9
38,7,0,0,0,3,1.0,0.42857142857142855,1.9142857142857144,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,9
39,6,0,0,0,3,1.0,0.42857142857142855,1.6642857142857144,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,9
40,8,0,0,0,4,1.0,0.5714285714285714,2.185714285714286,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,10
41,8,0,0,0,4,1.0,0.5714285714285714,2.185714285714286,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,10
42,2,0,0,0,2,1.0,0.2857142857142857,0.6428571428571428,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,10
43,0,0,0,0,0,0.75,0.0,0.07500000000000001,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,10
44,6,0,0,0,4,0.75,0.5714285714285714,1.6607142857142856,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,11
45,2,0,0,0,2,0.75,0.2857142857142857,0.6178571428571429,betagouv_aides-jeunes_65901733+kout95_at_users.noreply.github.com,betagouv/aides-jeunes,OSS4SG,11
