week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,2,0,0,0,1,0.25,0.14285714285714285,0.5464285714285715,bioconda_bioconda-recipes_dpryan79_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,0
1,4,0,0,0,1,0.5,0.14285714285714285,1.0714285714285714,bioconda_bioconda-recipes_dpryan79_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,0
2,2,0,0,0,2,0.75,0.2857142857142857,0.6178571428571429,bioconda_bioconda-recipes_dpryan79_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,0
3,2,2,0,0,2,1.0,0.2857142857142857,1.042857142857143,bioconda_bioconda-recipes_dpryan79_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,0
4,2,1,0,0,1,1.0,0.14285714285714285,0.8214285714285714,bioconda_bioconda-recipes_dpryan79_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,1
5,2,1,0,0,1,1.0,0.14285714285714285,0.8214285714285714,bioconda_bioconda-recipes_dpryan79_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,1
6,0,0,0,0,0,0.75,0.0,0.07500000000000001,bioconda_bioconda-recipes_dpryan79_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,1
7,0,0,0,0,0,0.5,0.0,0.05,bioconda_bioconda-recipes_dpryan79_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,1
8,1,1,0,0,1,0.5,0.14285714285714285,0.5214285714285715,bioconda_bioconda-recipes_dpryan79_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,2
9,3,2,0,0,2,0.5,0.2857142857142857,1.2428571428571429,bioconda_bioconda-recipes_dpryan79_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,2
10,3,2,0,0,2,0.75,0.2857142857142857,1.2678571428571428,bioconda_bioconda-recipes_dpryan79_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,2
11,0,0,0,0,0,0.75,0.0,0.07500000000000001,bioconda_bioconda-recipes_dpryan79_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,2
12,0,0,0,0,0,0.5,0.0,0.05,bioconda_bioconda-recipes_dpryan79_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,3
