week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,2,0,0,0,1,0.25,0.14285714285714285,0.5464285714285715,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,0
1,0,0,0,0,0,0.25,0.0,0.025,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,0
2,0,0,0,0,0,0.25,0.0,0.025,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,0
3,0,0,0,0,0,0.25,0.0,0.025,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,0
4,0,0,0,0,0,0.0,0.0,0.0,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,1
5,0,0,0,0,0,0.0,0.0,0.0,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,1
6,0,0,0,0,0,0.0,0.0,0.0,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,1
7,0,0,0,0,0,0.0,0.0,0.0,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,1
8,0,0,0,0,0,0.0,0.0,0.0,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,2
9,0,0,0,0,0,0.0,0.0,0.0,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,2
10,0,0,0,0,0,0.0,0.0,0.0,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,2
11,0,0,0,0,0,0.0,0.0,0.0,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,2
12,0,0,0,0,0,0.0,0.0,0.0,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,3
13,0,0,0,0,0,0.0,0.0,0.0,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,3
14,0,0,0,0,0,0.0,0.0,0.0,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,3
15,0,0,0,0,0,0.0,0.0,0.0,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,3
16,0,0,0,0,0,0.0,0.0,0.0,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,4
17,0,0,0,0,0,0.0,0.0,0.0,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,4
18,0,0,0,0,0,0.0,0.0,0.0,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,4
19,0,0,0,0,0,0.0,0.0,0.0,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,4
20,0,0,0,0,0,0.0,0.0,0.0,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,5
21,0,0,0,0,0,0.0,0.0,0.0,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,5
22,0,0,0,0,0,0.0,0.0,0.0,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,5
23,0,0,0,0,0,0.0,0.0,0.0,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,5
24,3,0,0,0,2,0.25,0.2857142857142857,0.8178571428571428,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,6
25,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,6
26,0,0,0,0,0,0.5,0.0,0.05,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,6
27,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,6
28,0,0,0,0,0,0.5,0.0,0.05,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,7
29,0,0,0,0,0,0.25,0.0,0.025,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,7
30,0,0,0,0,0,0.25,0.0,0.025,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,7
31,0,0,0,0,0,0.0,0.0,0.0,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,7
32,3,0,0,0,3,0.25,0.42857142857142855,0.8392857142857143,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,8
33,0,0,0,0,0,0.25,0.0,0.025,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,8
34,2,0,0,0,2,0.5,0.2857142857142857,0.5928571428571429,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,8
35,0,0,0,0,0,0.5,0.0,0.05,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,8
36,0,0,0,0,0,0.25,0.0,0.025,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,9
37,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,9
38,0,0,0,0,0,0.25,0.0,0.025,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,9
39,0,0,0,0,0,0.25,0.0,0.025,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,9
40,0,0,0,0,0,0.25,0.0,0.025,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,10
41,0,0,0,0,0,0.0,0.0,0.0,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,10
42,0,0,0,0,0,0.0,0.0,0.0,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,10
43,1,0,4,0,2,0.25,0.2857142857142857,0.9178571428571428,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,10
44,0,0,0,0,0,0.25,0.0,0.025,bioconda_bioconda-recipes_epruesse_at_users.noreply.github.com,bioconda/bioconda-recipes,OSS,11
