week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
-29,0,0,7,1,1,0.25,0.14285714285714285,1.2464285714285712,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-8
-28,0,0,0,0,0,0.25,0.0,0.025,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-7
-27,0,0,1,2,2,0.5,0.2857142857142857,0.5428571428571428,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-7
-26,0,0,1,2,2,0.75,0.2857142857142857,0.5678571428571428,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-7
-25,0,0,0,1,1,0.75,0.14285714285714285,0.24642857142857144,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-7
-24,0,0,0,0,0,0.75,0.0,0.07500000000000001,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-6
-23,0,0,3,1,1,0.75,0.14285714285714285,0.6964285714285714,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-6
-22,0,0,0,1,1,0.75,0.14285714285714285,0.24642857142857144,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-6
-21,0,0,0,0,0,0.5,0.0,0.05,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-6
-20,0,0,0,0,0,0.5,0.0,0.05,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-5
-19,0,0,0,1,1,0.5,0.14285714285714285,0.22142857142857142,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-5
-18,0,0,0,0,0,0.25,0.0,0.025,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-5
-17,0,0,0,0,0,0.25,0.0,0.025,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-5
-16,0,0,0,0,0,0.25,0.0,0.025,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-4
-15,0,0,9,2,2,0.25,0.2857142857142857,1.7178571428571427,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-4
-14,0,0,0,0,0,0.25,0.0,0.025,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-4
-13,0,0,0,0,0,0.25,0.0,0.025,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-4
-12,0,0,0,0,0,0.25,0.0,0.025,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-3
-11,0,0,0,0,0,0.0,0.0,0.0,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-3
-10,0,0,0,0,0,0.0,0.0,0.0,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-3
-9,0,1,2,2,3,0.25,0.42857142857142855,0.8892857142857143,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-3
-8,0,2,2,0,2,0.5,0.2857142857142857,0.7928571428571428,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-2
-7,0,0,0,0,0,0.5,0.0,0.05,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-2
-6,0,6,11,3,4,0.75,0.5714285714285714,3.460714285714286,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-2
-5,0,2,26,2,3,0.75,0.42857142857142855,4.739285714285714,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-2
-4,0,4,21,1,4,0.75,0.5714285714285714,4.260714285714286,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-1
-3,0,4,18,1,2,1.0,0.2857142857142857,3.7928571428571427,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-1
-2,0,0,0,0,0,0.75,0.0,0.07500000000000001,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-1
-1,0,3,7,1,3,0.75,0.42857142857142855,1.9392857142857143,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,-1
0,4,2,2,0,2,0.75,0.2857142857142857,1.8178571428571428,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,0
1,6,3,5,0,4,0.75,0.5714285714285714,3.010714285714286,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,0
2,5,2,9,2,4,1.0,0.5714285714285714,3.4857142857142858,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,0
3,3,2,0,0,2,1.0,0.2857142857142857,1.292857142857143,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,0
4,35,6,11,2,5,1.0,0.7142857142857143,12.107142857142858,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,1
5,7,2,6,1,3,1.0,0.42857142857142855,3.3642857142857143,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,1
6,0,1,19,0,1,1.0,0.14285714285714285,3.1714285714285717,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,1
7,6,1,4,2,2,1.0,0.2857142857142857,2.7428571428571424,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,1
8,0,0,0,0,0,0.75,0.0,0.07500000000000001,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,2
9,5,1,2,1,3,0.75,0.42857142857142855,2.039285714285714,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,2
10,1,1,2,0,2,0.75,0.2857142857142857,0.8678571428571429,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,2
11,36,18,19,14,7,0.75,1.0,17.775,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,2
12,6,4,5,0,3,1.0,0.42857142857142855,3.214285714285714,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,3
13,7,2,5,1,4,1.0,0.5714285714285714,3.2357142857142858,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,3
14,9,2,4,1,3,1.0,0.42857142857142855,3.5642857142857145,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,3
15,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,3
16,1,1,0,0,1,1.0,0.14285714285714285,0.5714285714285714,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,4
17,31,10,21,5,6,1.0,0.8571428571428571,13.878571428571428,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,4
18,24,4,7,1,5,1.0,0.7142857142857143,8.207142857142857,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,4
19,24,3,9,5,5,1.0,0.7142857142857143,8.907142857142857,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,4
20,47,2,3,6,4,1.0,0.5714285714285714,13.685714285714285,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,5
21,14,0,0,1,2,1.0,0.2857142857142857,3.7928571428571427,bokeh_bokeh_bryan_at_bokeh.org,bokeh/bokeh,OSS,5
