week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,2,0,0,0,2,0.25,0.2857142857142857,0.5678571428571428,boostorg_boost_dave_at_boostpro.com,boostorg/boost,OSS,0
1,0,0,0,0,0,0.25,0.0,0.025,boostorg_boost_dave_at_boostpro.com,boostorg/boost,OSS,0
2,0,0,0,0,0,0.25,0.0,0.025,boostorg_boost_dave_at_boostpro.com,boostorg/boost,OSS,0
3,0,0,0,0,0,0.25,0.0,0.025,boostorg_boost_dave_at_boostpro.com,boostorg/boost,OSS,0
4,0,0,0,0,0,0.0,0.0,0.0,boostorg_boost_dave_at_boostpro.com,boostorg/boost,OSS,1
5,0,0,0,0,0,0.0,0.0,0.0,boostorg_boost_dave_at_boostpro.com,boostorg/boost,OSS,1
6,0,0,0,0,0,0.0,0.0,0.0,boostorg_boost_dave_at_boostpro.com,boostorg/boost,OSS,1
7,0,0,0,0,0,0.0,0.0,0.0,boostorg_boost_dave_at_boostpro.com,boostorg/boost,OSS,1
8,0,0,0,0,0,0.0,0.0,0.0,boostorg_boost_dave_at_boostpro.com,boostorg/boost,OSS,2
9,9,0,0,0,1,0.25,0.14285714285714285,2.2964285714285713,boostorg_boost_dave_at_boostpro.com,boostorg/boost,OSS,2
10,12,0,0,0,4,0.5,0.5714285714285714,3.1357142857142857,boostorg_boost_dave_at_boostpro.com,boostorg/boost,OSS,2
11,9,0,0,0,3,0.75,0.42857142857142855,2.3892857142857142,boostorg_boost_dave_at_boostpro.com,boostorg/boost,OSS,2
