week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,boostorg_boost_ghost_at_cs.msu.su,boostorg/boost,OSS,0
1,0,0,0,0,0,0.25,0.0,0.025,boostorg_boost_ghost_at_cs.msu.su,boostorg/boost,OSS,0
2,0,0,0,0,0,0.25,0.0,0.025,boostorg_boost_ghost_at_cs.msu.su,boostorg/boost,OSS,0
3,0,0,0,0,0,0.25,0.0,0.025,boostorg_boost_ghost_at_cs.msu.su,boostorg/boost,OSS,0
4,0,0,0,0,0,0.0,0.0,0.0,boostorg_boost_ghost_at_cs.msu.su,boostorg/boost,OSS,1
5,0,0,0,0,0,0.0,0.0,0.0,boostorg_boost_ghost_at_cs.msu.su,boostorg/boost,OSS,1
6,0,0,0,0,0,0.0,0.0,0.0,boostorg_boost_ghost_at_cs.msu.su,boostorg/boost,OSS,1
7,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,boostorg_boost_ghost_at_cs.msu.su,boostorg/boost,OSS,1
8,0,0,0,0,0,0.25,0.0,0.025,boostorg_boost_ghost_at_cs.msu.su,boostorg/boost,OSS,2
9,0,0,0,0,0,0.25,0.0,0.025,boostorg_boost_ghost_at_cs.msu.su,boostorg/boost,OSS,2
10,0,0,0,0,0,0.25,0.0,0.025,boostorg_boost_ghost_at_cs.msu.su,boostorg/boost,OSS,2
11,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,boostorg_boost_ghost_at_cs.msu.su,boostorg/boost,OSS,2
12,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,boostorg_boost_ghost_at_cs.msu.su,boostorg/boost,OSS,3
13,0,0,0,0,0,0.5,0.0,0.05,boostorg_boost_ghost_at_cs.msu.su,boostorg/boost,OSS,3
14,0,0,0,0,0,0.5,0.0,0.05,boostorg_boost_ghost_at_cs.msu.su,boostorg/boost,OSS,3
15,0,0,0,0,0,0.25,0.0,0.025,boostorg_boost_ghost_at_cs.msu.su,boostorg/boost,OSS,3
16,0,0,0,0,0,0.0,0.0,0.0,boostorg_boost_ghost_at_cs.msu.su,boostorg/boost,OSS,4
