week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,23,0,0,0,4,0.25,0.5714285714285714,5.860714285714286,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,0
1,4,0,0,0,2,0.5,0.2857142857142857,1.092857142857143,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,0
2,4,0,0,0,2,0.75,0.2857142857142857,1.1178571428571429,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,0
3,9,0,0,0,4,1.0,0.5714285714285714,2.435714285714286,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,0
4,0,0,0,0,0,0.75,0.0,0.07500000000000001,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,1
5,4,0,0,0,1,0.75,0.14285714285714285,1.0964285714285713,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,1
6,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,1
7,0,0,0,0,0,0.5,0.0,0.05,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,1
8,7,0,0,0,2,0.75,0.2857142857142857,1.8678571428571429,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,2
9,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,2
10,3,0,0,0,1,0.75,0.14285714285714285,0.8464285714285715,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,2
11,21,0,0,0,1,1.0,0.14285714285714285,5.371428571428571,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,2
12,0,0,0,0,0,0.75,0.0,0.07500000000000001,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,3
13,4,0,0,0,1,0.75,0.14285714285714285,1.0964285714285713,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,3
14,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,3
15,0,0,0,0,0,0.5,0.0,0.05,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,3
16,2,0,0,0,1,0.75,0.14285714285714285,0.5964285714285715,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,4
17,0,0,0,0,0,0.5,0.0,0.05,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,4
18,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,4
19,0,0,0,0,0,0.5,0.0,0.05,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,4
20,0,0,0,0,0,0.25,0.0,0.025,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,5
21,0,0,0,0,0,0.25,0.0,0.025,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,5
22,18,0,0,0,1,0.25,0.14285714285714285,4.546428571428572,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,5
23,4,0,0,0,3,0.5,0.42857142857142855,1.1142857142857143,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,5
24,0,0,0,0,0,0.5,0.0,0.05,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,6
25,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,6
26,20,0,0,0,5,0.75,0.7142857142857143,5.182142857142857,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,6
27,4,0,0,0,2,0.75,0.2857142857142857,1.1178571428571429,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,6
28,0,0,0,0,0,0.75,0.0,0.07500000000000001,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,7
29,0,0,0,0,0,0.5,0.0,0.05,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,7
30,0,0,0,0,0,0.25,0.0,0.025,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,7
31,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,7
32,0,0,0,0,0,0.25,0.0,0.025,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,8
33,0,0,0,0,0,0.25,0.0,0.025,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,8
34,0,0,0,0,0,0.25,0.0,0.025,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,8
35,3,0,0,0,1,0.25,0.14285714285714285,0.7964285714285715,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,8
36,0,0,0,0,0,0.25,0.0,0.025,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,9
37,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,9
38,0,0,0,0,0,0.5,0.0,0.05,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,9
39,0,0,0,0,0,0.25,0.0,0.025,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,9
40,0,0,0,0,0,0.25,0.0,0.025,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,10
41,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,10
42,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,boostorg_boost_jeff_at_crystalclearsoftware.com,boostorg/boost,OSS,10
