week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,2,0,0,0,1,0.25,0.14285714285714285,0.5464285714285715,buefy_buefy_imars073_at_live.be,buefy/buefy,OSS,0
1,0,0,0,0,0,0.25,0.0,0.025,buefy_buefy_imars073_at_live.be,buefy/buefy,OSS,0
2,0,0,0,0,0,0.25,0.0,0.025,buefy_buefy_imars073_at_live.be,buefy/buefy,OSS,0
3,0,0,0,0,0,0.25,0.0,0.025,buefy_buefy_imars073_at_live.be,buefy/buefy,OSS,0
4,0,0,0,0,0,0.0,0.0,0.0,buefy_buefy_imars073_at_live.be,buefy/buefy,OSS,1
5,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,buefy_buefy_imars073_at_live.be,buefy/buefy,OSS,1
6,0,0,0,0,0,0.25,0.0,0.025,buefy_buefy_imars073_at_live.be,buefy/buefy,OSS,1
7,0,0,0,0,0,0.25,0.0,0.025,buefy_buefy_imars073_at_live.be,buefy/buefy,OSS,1
8,0,0,0,0,0,0.25,0.0,0.025,buefy_buefy_imars073_at_live.be,buefy/buefy,OSS,2
9,0,0,0,0,0,0.0,0.0,0.0,buefy_buefy_imars073_at_live.be,buefy/buefy,OSS,2
10,0,0,0,0,0,0.0,0.0,0.0,buefy_buefy_imars073_at_live.be,buefy/buefy,OSS,2
11,0,0,0,0,0,0.0,0.0,0.0,buefy_buefy_imars073_at_live.be,buefy/buefy,OSS,2
12,0,0,0,0,0,0.0,0.0,0.0,buefy_buefy_imars073_at_live.be,buefy/buefy,OSS,3
13,1,2,0,0,2,0.25,0.2857142857142857,0.7178571428571429,buefy_buefy_imars073_at_live.be,buefy/buefy,OSS,3
14,2,1,1,0,3,0.5,0.42857142857142855,0.9642857142857143,buefy_buefy_imars073_at_live.be,buefy/buefy,OSS,3
15,2,2,0,0,1,0.75,0.14285714285714285,0.9964285714285714,buefy_buefy_imars073_at_live.be,buefy/buefy,OSS,3
