week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,0
1,0,0,0,0,0,0.25,0.0,0.025,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,0
2,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,0
3,0,0,0,0,0,0.5,0.0,0.05,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,0
4,3,0,0,0,2,0.5,0.2857142857142857,0.8428571428571429,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,1
5,0,0,0,0,0,0.5,0.0,0.05,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,1
6,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,1
7,0,0,0,0,0,0.5,0.0,0.05,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,1
8,4,0,0,0,3,0.5,0.42857142857142855,1.1142857142857143,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,2
9,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,2
10,0,0,0,0,0,0.5,0.0,0.05,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,2
11,2,0,0,0,2,0.75,0.2857142857142857,0.6178571428571429,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,2
12,0,0,0,0,0,0.5,0.0,0.05,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,3
13,0,0,0,0,0,0.25,0.0,0.025,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,3
14,0,0,0,0,0,0.25,0.0,0.025,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,3
15,0,0,0,0,0,0.0,0.0,0.0,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,3
16,3,0,0,0,2,0.25,0.2857142857142857,0.8178571428571428,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,4
17,0,0,0,0,0,0.25,0.0,0.025,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,4
18,0,0,0,0,0,0.25,0.0,0.025,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,4
19,0,0,0,0,0,0.25,0.0,0.025,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,4
20,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,5
21,3,0,0,0,1,0.5,0.14285714285714285,0.8214285714285715,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,5
22,2,0,0,0,1,0.75,0.14285714285714285,0.5964285714285715,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,5
23,4,0,0,0,2,1.0,0.2857142857142857,1.142857142857143,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,5
24,2,0,0,0,2,1.0,0.2857142857142857,0.6428571428571428,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,6
25,0,0,0,0,0,0.75,0.0,0.07500000000000001,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,6
26,0,0,0,0,0,0.5,0.0,0.05,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,6
27,0,0,0,0,0,0.25,0.0,0.025,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,6
28,0,0,0,0,0,0.0,0.0,0.0,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,7
29,3,0,0,0,2,0.25,0.2857142857142857,0.8178571428571428,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,7
30,4,0,0,0,1,0.5,0.14285714285714285,1.0714285714285714,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,7
31,3,0,0,0,2,0.75,0.2857142857142857,0.8678571428571429,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,7
32,5,0,0,0,1,1.0,0.14285714285714285,1.3714285714285714,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,8
33,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,8
34,0,0,0,0,0,0.75,0.0,0.07500000000000001,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,8
35,2,0,0,0,1,0.75,0.14285714285714285,0.5964285714285715,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,8
36,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,9
37,0,0,0,0,0,0.5,0.0,0.05,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,9
38,0,0,0,0,0,0.5,0.0,0.05,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,9
39,3,0,0,0,3,0.5,0.42857142857142855,0.8642857142857143,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,9
40,0,0,0,0,0,0.25,0.0,0.025,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,10
41,0,0,0,0,0,0.25,0.0,0.025,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,10
42,0,0,0,0,0,0.25,0.0,0.025,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,10
43,0,0,0,0,0,0.0,0.0,0.0,buildroot_buildroot_romain.naour_at_openwide.fr,buildroot/buildroot,OSS,10
