week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
-3,0,8,1,0,2,0.25,0.2857142857142857,1.8178571428571428,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,-1
-2,0,0,0,0,0,0.25,0.0,0.025,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,-1
-1,0,1,0,0,1,0.5,0.14285714285714285,0.27142857142857146,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,-1
0,2,0,0,0,1,0.75,0.14285714285714285,0.5964285714285715,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,0
1,0,0,0,0,0,0.5,0.0,0.05,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,0
2,0,1,0,0,1,0.75,0.14285714285714285,0.2964285714285715,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,0
3,0,0,0,0,0,0.5,0.0,0.05,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,0
4,2,1,0,0,1,0.5,0.14285714285714285,0.7714285714285715,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,1
5,0,0,0,0,0,0.5,0.0,0.05,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,1
6,2,1,0,0,1,0.5,0.14285714285714285,0.7714285714285715,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,1
7,4,2,0,0,1,0.75,0.14285714285714285,1.4964285714285712,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,1
8,2,1,0,0,1,0.75,0.14285714285714285,0.7964285714285715,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,2
9,2,1,0,0,1,1.0,0.14285714285714285,0.8214285714285714,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,2
10,0,1,0,0,1,1.0,0.14285714285714285,0.32142857142857145,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,2
11,4,2,0,0,3,1.0,0.42857142857142855,1.5642857142857143,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,2
12,0,0,0,0,0,0.75,0.0,0.07500000000000001,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,3
13,4,1,0,0,1,0.75,0.14285714285714285,1.2964285714285713,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,3
14,2,1,0,0,1,0.75,0.14285714285714285,0.7964285714285715,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,3
15,16,8,10,0,4,0.75,0.5714285714285714,7.260714285714285,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,3
16,2,1,0,0,2,1.0,0.2857142857142857,0.8428571428571427,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,4
17,0,0,0,0,0,0.75,0.0,0.07500000000000001,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,4
18,0,1,0,0,1,0.75,0.14285714285714285,0.2964285714285715,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,4
19,4,2,0,0,1,0.75,0.14285714285714285,1.4964285714285712,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,4
20,4,1,0,0,2,0.75,0.2857142857142857,1.3178571428571428,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,5
21,8,4,0,0,3,1.0,0.42857142857142855,2.964285714285714,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,5
22,4,2,0,0,1,1.0,0.14285714285714285,1.5214285714285714,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,5
23,0,0,0,0,0,0.75,0.0,0.07500000000000001,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,5
24,8,4,0,0,2,0.75,0.2857142857142857,2.9178571428571427,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,6
25,4,2,0,0,2,0.75,0.2857142857142857,1.5178571428571428,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,6
26,0,0,0,0,0,0.5,0.0,0.05,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,6
27,2,1,0,0,1,0.75,0.14285714285714285,0.7964285714285715,chaynHQ_soulmedicine_jits_at_users.noreply.github.com,chaynHQ/soulmedicine,OSS4SG,6
