week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,dimagi_commcare-hq_mkangia_at_dimagi.com,dimagi/commcare-hq,OSS4SG,0
1,10,0,0,0,4,0.5,0.5714285714285714,2.6357142857142857,dimagi_commcare-hq_mkangia_at_dimagi.com,dimagi/commcare-hq,OSS4SG,0
2,8,0,0,0,4,0.75,0.5714285714285714,2.160714285714286,dimagi_commcare-hq_mkangia_at_dimagi.com,dimagi/commcare-hq,OSS4SG,0
3,6,0,0,0,2,1.0,0.2857142857142857,1.642857142857143,dimagi_commcare-hq_mkangia_at_dimagi.com,dimagi/commcare-hq,OSS4SG,0
4,12,0,0,0,7,1.0,1.0,3.25,dimagi_commcare-hq_mkangia_at_dimagi.com,dimagi/commcare-hq,OSS4SG,1
5,34,0,0,0,5,1.0,0.7142857142857143,8.707142857142857,dimagi_commcare-hq_mkangia_at_dimagi.com,dimagi/commcare-hq,OSS4SG,1
6,5,0,0,0,2,1.0,0.2857142857142857,1.392857142857143,dimagi_commcare-hq_mkangia_at_dimagi.com,dimagi/commcare-hq,OSS4SG,1
7,8,0,0,0,5,1.0,0.7142857142857143,2.2071428571428573,dimagi_commcare-hq_mkangia_at_dimagi.com,dimagi/commcare-hq,OSS4SG,1
8,11,0,0,0,4,1.0,0.5714285714285714,2.935714285714286,dimagi_commcare-hq_mkangia_at_dimagi.com,dimagi/commcare-hq,OSS4SG,2
9,2,0,0,0,2,1.0,0.2857142857142857,0.6428571428571428,dimagi_commcare-hq_mkangia_at_dimagi.com,dimagi/commcare-hq,OSS4SG,2
10,7,0,0,0,2,1.0,0.2857142857142857,1.892857142857143,dimagi_commcare-hq_mkangia_at_dimagi.com,dimagi/commcare-hq,OSS4SG,2
11,9,0,0,0,4,1.0,0.5714285714285714,2.435714285714286,dimagi_commcare-hq_mkangia_at_dimagi.com,dimagi/commcare-hq,OSS4SG,2
