week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,2,0,0,0,2,0.25,0.2857142857142857,0.5678571428571428,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,0
1,3,0,0,0,2,0.5,0.2857142857142857,0.8428571428571429,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,0
2,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,0
3,0,0,0,0,0,0.75,0.0,0.07500000000000001,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,0
4,2,0,0,0,2,0.75,0.2857142857142857,0.6178571428571429,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,1
5,0,0,0,0,0,0.5,0.0,0.05,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,1
6,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,1
7,3,0,0,0,2,0.75,0.2857142857142857,0.8678571428571429,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,1
8,4,0,0,0,2,0.75,0.2857142857142857,1.1178571428571429,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,2
9,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,2
10,3,0,0,0,2,1.0,0.2857142857142857,0.8928571428571428,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,2
11,3,0,0,0,2,1.0,0.2857142857142857,0.8928571428571428,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,2
12,2,0,0,0,1,1.0,0.14285714285714285,0.6214285714285714,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,3
13,4,0,0,0,2,1.0,0.2857142857142857,1.142857142857143,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,3
14,7,0,0,0,4,1.0,0.5714285714285714,1.9357142857142857,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,3
15,3,0,0,0,2,1.0,0.2857142857142857,0.8928571428571428,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,3
16,2,0,0,0,2,1.0,0.2857142857142857,0.6428571428571428,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,4
17,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,4
18,4,0,0,0,3,1.0,0.42857142857142855,1.1642857142857144,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,4
19,2,0,0,0,2,1.0,0.2857142857142857,0.6428571428571428,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,4
20,2,0,0,0,2,1.0,0.2857142857142857,0.6428571428571428,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,5
21,3,0,0,0,1,1.0,0.14285714285714285,0.8714285714285714,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,5
22,0,0,0,0,0,0.75,0.0,0.07500000000000001,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,5
23,2,0,0,0,1,0.75,0.14285714285714285,0.5964285714285715,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,5
24,2,0,0,0,2,0.75,0.2857142857142857,0.6178571428571429,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,6
25,2,0,0,0,2,0.75,0.2857142857142857,0.6178571428571429,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,6
26,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,6
27,2,0,0,0,2,1.0,0.2857142857142857,0.6428571428571428,elastic_beats_dan.kortschak_at_elastic.co,elastic/beats,OSS,6
