week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,3,0,0,0,3,0.25,0.42857142857142855,0.8392857142857143,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,0
1,6,0,0,0,3,0.5,0.42857142857142855,1.6142857142857143,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,0
2,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,0
3,0,0,0,0,0,0.75,0.0,0.07500000000000001,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,0
4,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,1
5,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,1
6,0,0,0,0,0,0.5,0.0,0.05,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,1
7,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,1
8,0,0,0,0,0,0.5,0.0,0.05,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,2
9,0,0,0,0,0,0.25,0.0,0.025,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,2
10,0,0,0,0,0,0.25,0.0,0.025,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,2
11,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,2
12,8,0,0,0,3,0.25,0.42857142857142855,2.089285714285714,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,3
13,14,0,0,0,5,0.5,0.7142857142857143,3.657142857142857,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,3
14,9,0,0,0,4,0.75,0.5714285714285714,2.410714285714286,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,3
15,17,0,0,0,4,1.0,0.5714285714285714,4.435714285714285,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,3
16,29,0,0,0,5,1.0,0.7142857142857143,7.457142857142856,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,4
17,19,0,0,0,5,1.0,0.7142857142857143,4.957142857142856,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,4
18,20,0,0,0,5,1.0,0.7142857142857143,5.207142857142856,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,4
19,2,0,0,0,2,1.0,0.2857142857142857,0.6428571428571428,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,4
20,3,0,0,0,1,1.0,0.14285714285714285,0.8714285714285714,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,5
21,7,0,0,0,4,1.0,0.5714285714285714,1.9357142857142857,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,5
22,0,0,0,0,0,0.75,0.0,0.07500000000000001,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,5
23,2,0,0,0,2,0.75,0.2857142857142857,0.6178571428571429,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,5
24,0,0,0,0,0,0.5,0.0,0.05,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,6
25,0,0,0,0,0,0.25,0.0,0.025,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,6
26,0,0,0,0,0,0.25,0.0,0.025,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,6
27,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,6
28,12,0,0,0,3,0.25,0.42857142857142855,3.089285714285714,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,7
29,6,0,0,0,3,0.5,0.42857142857142855,1.6142857142857143,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,7
30,0,0,0,0,0,0.5,0.0,0.05,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,7
31,0,0,0,0,0,0.5,0.0,0.05,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,7
32,0,0,0,0,0,0.25,0.0,0.025,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,8
33,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,8
34,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,8
35,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,8
36,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,9
37,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,9
38,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,9
39,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,9
40,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,10
41,0,0,0,0,0,0.25,0.0,0.025,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,10
42,0,0,0,0,0,0.25,0.0,0.025,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,10
43,0,0,0,0,0,0.25,0.0,0.025,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,10
44,4,0,0,0,3,0.25,0.42857142857142855,1.0892857142857142,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,11
45,0,0,0,0,0,0.25,0.0,0.025,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,11
46,2,0,0,0,2,0.5,0.2857142857142857,0.5928571428571429,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,11
47,2,1,1,0,3,0.75,0.42857142857142855,0.9892857142857143,elastic_elasticsearch_areek.zillur_at_elasticsearch.com,elastic/elasticsearch,OSS,11
