week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,0
1,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,0
2,0,0,0,0,0,0.5,0.0,0.05,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,0
3,0,0,0,0,0,0.5,0.0,0.05,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,0
4,0,0,0,0,0,0.25,0.0,0.025,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,1
5,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,1
6,4,0,0,0,2,0.5,0.2857142857142857,1.092857142857143,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,1
7,0,0,0,0,0,0.5,0.0,0.05,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,1
8,0,0,0,0,0,0.5,0.0,0.05,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,2
9,0,0,0,0,0,0.25,0.0,0.025,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,2
10,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,2
11,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,2
12,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,3
13,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,3
14,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,3
15,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,3
16,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,4
17,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,4
18,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,4
19,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,4
20,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,5
21,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,5
22,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,5
23,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,5
24,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,6
25,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,6
26,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,6
27,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,6
28,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,7
29,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,7
30,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,7
31,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,7
32,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,8
33,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,8
34,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,8
35,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,8
36,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,9
37,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,9
38,0,0,0,0,0,0.0,0.0,0.0,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,9
39,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,9
40,3,0,0,0,2,0.5,0.2857142857142857,0.8428571428571429,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,10
41,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,10
42,6,0,0,1,5,1.0,0.7142857142857143,1.8571428571428572,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,10
43,8,0,0,1,5,1.0,0.7142857142857143,2.357142857142857,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,10
44,4,0,0,0,2,1.0,0.2857142857142857,1.142857142857143,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,11
45,4,0,0,0,4,1.0,0.5714285714285714,1.1857142857142857,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,11
46,6,0,0,0,4,1.0,0.5714285714285714,1.6857142857142857,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,11
47,5,0,0,0,4,1.0,0.5714285714285714,1.4357142857142857,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,11
48,5,0,0,0,2,1.0,0.2857142857142857,1.392857142857143,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,12
49,6,0,0,0,5,1.0,0.7142857142857143,1.7071428571428573,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,12
50,7,0,0,0,4,1.0,0.5714285714285714,1.9357142857142857,elastic_elasticsearch_me_at_obrown.io,elastic/elasticsearch,OSS,12
