week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,3,0,16,7,6,0.25,0.8571428571428571,4.3535714285714295,electricitymaps_electricitymaps-contrib_engineering+github_at_electricitymaps.com,electricitymaps/electricitymaps-contrib,OSS4SG,0
1,2,0,8,6,2,0.5,0.2857142857142857,2.692857142857142,electricitymaps_electricitymaps-contrib_engineering+github_at_electricitymaps.com,electricitymaps/electricitymaps-contrib,OSS4SG,0
2,4,0,24,6,3,0.75,0.42857142857142855,5.639285714285714,electricitymaps_electricitymaps-contrib_engineering+github_at_electricitymaps.com,electricitymaps/electricitymaps-contrib,OSS4SG,0
3,1,0,6,6,3,1.0,0.42857142857142855,2.214285714285714,electricitymaps_electricitymaps-contrib_engineering+github_at_electricitymaps.com,electricitymaps/electricitymaps-contrib,OSS4SG,0
4,2,0,5,5,3,1.0,0.42857142857142855,2.164285714285714,electricitymaps_electricitymaps-contrib_engineering+github_at_electricitymaps.com,electricitymaps/electricitymaps-contrib,OSS4SG,1
5,3,0,22,7,4,1.0,0.5714285714285714,5.285714285714285,electricitymaps_electricitymaps-contrib_engineering+github_at_electricitymaps.com,electricitymaps/electricitymaps-contrib,OSS4SG,1
6,2,0,100,5,2,1.0,0.2857142857142857,16.392857142857146,electricitymaps_electricitymaps-contrib_engineering+github_at_electricitymaps.com,electricitymaps/electricitymaps-contrib,OSS4SG,1
7,3,0,2,1,2,1.0,0.2857142857142857,1.342857142857143,electricitymaps_electricitymaps-contrib_engineering+github_at_electricitymaps.com,electricitymaps/electricitymaps-contrib,OSS4SG,1
8,3,0,1,1,3,1.0,0.42857142857142855,1.2142857142857144,electricitymaps_electricitymaps-contrib_engineering+github_at_electricitymaps.com,electricitymaps/electricitymaps-contrib,OSS4SG,2
9,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,electricitymaps_electricitymaps-contrib_engineering+github_at_electricitymaps.com,electricitymaps/electricitymaps-contrib,OSS4SG,2
10,2,0,0,0,2,1.0,0.2857142857142857,0.6428571428571428,electricitymaps_electricitymaps-contrib_engineering+github_at_electricitymaps.com,electricitymaps/electricitymaps-contrib,OSS4SG,2
11,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,electricitymaps_electricitymaps-contrib_engineering+github_at_electricitymaps.com,electricitymaps/electricitymaps-contrib,OSS4SG,2
