week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
-28,0,2,0,0,2,0.25,0.2857142857142857,0.4678571428571429,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-7
-27,0,1,1,0,1,0.5,0.14285714285714285,0.4214285714285714,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-7
-26,0,3,0,0,3,0.75,0.42857142857142855,0.7392857142857143,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-7
-25,0,1,0,0,1,1.0,0.14285714285714285,0.32142857142857145,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-7
-24,0,0,0,0,0,0.75,0.0,0.07500000000000001,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-6
-23,0,2,7,0,2,0.75,0.2857142857142857,1.567857142857143,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-6
-22,0,0,0,0,0,0.5,0.0,0.05,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-6
-21,0,4,3,0,3,0.5,0.42857142857142855,1.3642857142857143,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-6
-20,0,4,2,0,3,0.75,0.42857142857142855,1.2392857142857143,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-5
-19,0,1,2,0,1,0.75,0.14285714285714285,0.5964285714285715,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-5
-18,0,1,0,0,1,1.0,0.14285714285714285,0.32142857142857145,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-5
-17,0,2,1,1,2,1.0,0.2857142857142857,0.8428571428571429,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-5
-16,0,2,4,0,1,1.0,0.14285714285714285,1.1214285714285714,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-4
-15,0,0,0,0,0,0.75,0.0,0.07500000000000001,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-4
-14,0,1,5,0,1,0.75,0.14285714285714285,1.0464285714285715,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-4
-13,0,1,0,0,1,0.75,0.14285714285714285,0.2964285714285715,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-4
-12,0,2,10,0,2,0.75,0.2857142857142857,2.017857142857143,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-3
-11,0,0,0,0,0,0.75,0.0,0.07500000000000001,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-3
-10,0,1,0,0,1,0.75,0.14285714285714285,0.2964285714285715,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-3
-9,0,0,0,0,0,0.5,0.0,0.05,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-3
-8,0,0,0,0,0,0.25,0.0,0.025,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-2
-7,0,0,0,1,1,0.5,0.14285714285714285,0.22142857142857142,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-2
-6,0,0,0,0,0,0.25,0.0,0.025,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-2
-5,0,1,3,0,1,0.5,0.14285714285714285,0.7214285714285714,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-2
-4,0,2,8,1,3,0.75,0.42857142857142855,1.8892857142857142,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-1
-3,0,0,1,1,1,0.75,0.14285714285714285,0.3964285714285714,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-1
-2,0,1,3,0,1,1.0,0.14285714285714285,0.7714285714285714,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-1
-1,0,0,0,0,0,0.75,0.0,0.07500000000000001,facebook_react_git_at_sophiebits.com,facebook/react,OSS,-1
0,2,2,1,0,2,0.75,0.2857142857142857,1.167857142857143,facebook_react_git_at_sophiebits.com,facebook/react,OSS,0
1,0,0,3,0,1,0.75,0.14285714285714285,0.5464285714285714,facebook_react_git_at_sophiebits.com,facebook/react,OSS,0
2,0,1,1,0,1,0.75,0.14285714285714285,0.4464285714285714,facebook_react_git_at_sophiebits.com,facebook/react,OSS,0
3,0,0,1,0,1,1.0,0.14285714285714285,0.27142857142857146,facebook_react_git_at_sophiebits.com,facebook/react,OSS,0
4,2,1,2,0,2,1.0,0.2857142857142857,1.142857142857143,facebook_react_git_at_sophiebits.com,facebook/react,OSS,1
5,0,0,0,0,0,0.75,0.0,0.07500000000000001,facebook_react_git_at_sophiebits.com,facebook/react,OSS,1
6,0,0,0,0,0,0.5,0.0,0.05,facebook_react_git_at_sophiebits.com,facebook/react,OSS,1
7,0,0,0,0,0,0.25,0.0,0.025,facebook_react_git_at_sophiebits.com,facebook/react,OSS,1
8,0,0,0,0,0,0.0,0.0,0.0,facebook_react_git_at_sophiebits.com,facebook/react,OSS,2
9,0,0,0,0,0,0.0,0.0,0.0,facebook_react_git_at_sophiebits.com,facebook/react,OSS,2
10,0,0,0,0,0,0.0,0.0,0.0,facebook_react_git_at_sophiebits.com,facebook/react,OSS,2
11,0,0,0,0,0,0.0,0.0,0.0,facebook_react_git_at_sophiebits.com,facebook/react,OSS,2
12,0,0,0,0,0,0.0,0.0,0.0,facebook_react_git_at_sophiebits.com,facebook/react,OSS,3
13,1,1,0,0,1,0.25,0.14285714285714285,0.49642857142857144,facebook_react_git_at_sophiebits.com,facebook/react,OSS,3
14,0,0,0,0,0,0.25,0.0,0.025,facebook_react_git_at_sophiebits.com,facebook/react,OSS,3
15,0,0,0,0,0,0.25,0.0,0.025,facebook_react_git_at_sophiebits.com,facebook/react,OSS,3
16,0,0,0,0,0,0.25,0.0,0.025,facebook_react_git_at_sophiebits.com,facebook/react,OSS,4
17,0,0,2,1,1,0.25,0.14285714285714285,0.4964285714285714,facebook_react_git_at_sophiebits.com,facebook/react,OSS,4
18,0,0,0,0,0,0.25,0.0,0.025,facebook_react_git_at_sophiebits.com,facebook/react,OSS,4
19,0,0,0,0,0,0.25,0.0,0.025,facebook_react_git_at_sophiebits.com,facebook/react,OSS,4
20,0,0,0,0,0,0.25,0.0,0.025,facebook_react_git_at_sophiebits.com,facebook/react,OSS,5
21,0,0,0,0,0,0.0,0.0,0.0,facebook_react_git_at_sophiebits.com,facebook/react,OSS,5
22,1,1,1,0,1,0.25,0.14285714285714285,0.6464285714285715,facebook_react_git_at_sophiebits.com,facebook/react,OSS,5
