week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
-2,0,0,1,1,1,0.25,0.14285714285714285,0.3464285714285714,getodk_collect_yanokwa_at_users.noreply.github.com,getodk/collect,OSS4SG,-1
-1,0,0,0,0,0,0.25,0.0,0.025,getodk_collect_yanokwa_at_users.noreply.github.com,getodk/collect,OSS4SG,-1
0,3,0,1,1,1,0.5,0.14285714285714285,1.1214285714285714,getodk_collect_yanokwa_at_users.noreply.github.com,getodk/collect,OSS4SG,0
1,0,0,0,0,0,0.5,0.0,0.05,getodk_collect_yanokwa_at_users.noreply.github.com,getodk/collect,OSS4SG,0
2,1,0,5,3,2,0.5,0.2857142857142857,1.542857142857143,getodk_collect_yanokwa_at_users.noreply.github.com,getodk/collect,OSS4SG,0
3,0,0,0,0,0,0.5,0.0,0.05,getodk_collect_yanokwa_at_users.noreply.github.com,getodk/collect,OSS4SG,0
4,2,0,0,0,2,0.5,0.2857142857142857,0.5928571428571429,getodk_collect_yanokwa_at_users.noreply.github.com,getodk/collect,OSS4SG,1
5,1,0,3,2,1,0.75,0.14285714285714285,1.0964285714285713,getodk_collect_yanokwa_at_users.noreply.github.com,getodk/collect,OSS4SG,1
6,4,0,3,2,3,0.75,0.42857142857142855,1.8892857142857142,getodk_collect_yanokwa_at_users.noreply.github.com,getodk/collect,OSS4SG,1
7,10,0,7,13,3,1.0,0.42857142857142855,5.664285714285714,getodk_collect_yanokwa_at_users.noreply.github.com,getodk/collect,OSS4SG,1
8,4,0,1,2,3,1.0,0.42857142857142855,1.6142857142857143,getodk_collect_yanokwa_at_users.noreply.github.com,getodk/collect,OSS4SG,2
9,7,0,0,1,2,1.0,0.2857142857142857,2.0428571428571427,getodk_collect_yanokwa_at_users.noreply.github.com,getodk/collect,OSS4SG,2
10,5,0,5,1,3,1.0,0.42857142857142855,2.3142857142857145,getodk_collect_yanokwa_at_users.noreply.github.com,getodk/collect,OSS4SG,2
11,5,0,1,2,5,1.0,0.7142857142857143,1.9071428571428573,getodk_collect_yanokwa_at_users.noreply.github.com,getodk/collect,OSS4SG,2
12,4,1,2,1,2,1.0,0.2857142857142857,1.792857142857143,getodk_collect_yanokwa_at_users.noreply.github.com,getodk/collect,OSS4SG,3
13,2,0,1,1,2,1.0,0.2857142857142857,0.9428571428571428,getodk_collect_yanokwa_at_users.noreply.github.com,getodk/collect,OSS4SG,3
14,0,0,0,0,0,0.75,0.0,0.07500000000000001,getodk_collect_yanokwa_at_users.noreply.github.com,getodk/collect,OSS4SG,3
15,0,0,0,0,0,0.5,0.0,0.05,getodk_collect_yanokwa_at_users.noreply.github.com,getodk/collect,OSS4SG,3
16,0,0,0,0,0,0.25,0.0,0.025,getodk_collect_yanokwa_at_users.noreply.github.com,getodk/collect,OSS4SG,4
17,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,getodk_collect_yanokwa_at_users.noreply.github.com,getodk/collect,OSS4SG,4
18,1,1,0,1,1,0.5,0.14285714285714285,0.6714285714285715,getodk_collect_yanokwa_at_users.noreply.github.com,getodk/collect,OSS4SG,4
19,0,0,1,1,1,0.75,0.14285714285714285,0.3964285714285714,getodk_collect_yanokwa_at_users.noreply.github.com,getodk/collect,OSS4SG,4
20,0,0,1,2,2,1.0,0.2857142857142857,0.5928571428571429,getodk_collect_yanokwa_at_users.noreply.github.com,getodk/collect,OSS4SG,5
21,0,0,2,1,1,1.0,0.14285714285714285,0.5714285714285714,getodk_collect_yanokwa_at_users.noreply.github.com,getodk/collect,OSS4SG,5
