week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,2,0,0,0,1,0.25,0.14285714285714285,0.5464285714285715,golang_go_rsc_at_golang.org,golang/go,OSS,0
1,9,0,0,0,3,0.5,0.42857142857142855,2.364285714285714,golang_go_rsc_at_golang.org,golang/go,OSS,0
2,0,0,0,0,0,0.5,0.0,0.05,golang_go_rsc_at_golang.org,golang/go,OSS,0
3,0,0,0,0,0,0.5,0.0,0.05,golang_go_rsc_at_golang.org,golang/go,OSS,0
4,0,0,0,0,0,0.25,0.0,0.025,golang_go_rsc_at_golang.org,golang/go,OSS,1
5,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,golang_go_rsc_at_golang.org,golang/go,OSS,1
6,10,0,0,0,3,0.5,0.42857142857142855,2.614285714285714,golang_go_rsc_at_golang.org,golang/go,OSS,1
7,18,0,0,0,4,0.75,0.5714285714285714,4.660714285714286,golang_go_rsc_at_golang.org,golang/go,OSS,1
8,27,0,0,0,5,1.0,0.7142857142857143,6.957142857142856,golang_go_rsc_at_golang.org,golang/go,OSS,2
9,20,0,0,0,7,1.0,1.0,5.25,golang_go_rsc_at_golang.org,golang/go,OSS,2
10,17,0,0,0,4,1.0,0.5714285714285714,4.435714285714285,golang_go_rsc_at_golang.org,golang/go,OSS,2
11,11,0,0,0,4,1.0,0.5714285714285714,2.935714285714286,golang_go_rsc_at_golang.org,golang/go,OSS,2
12,24,0,0,0,6,1.0,0.8571428571428571,6.228571428571428,golang_go_rsc_at_golang.org,golang/go,OSS,3
13,21,0,0,0,4,1.0,0.5714285714285714,5.435714285714285,golang_go_rsc_at_golang.org,golang/go,OSS,3
14,17,0,0,0,4,1.0,0.5714285714285714,4.435714285714285,golang_go_rsc_at_golang.org,golang/go,OSS,3
15,10,0,0,0,5,1.0,0.7142857142857143,2.7071428571428573,golang_go_rsc_at_golang.org,golang/go,OSS,3
16,40,0,0,0,6,1.0,0.8571428571428571,10.228571428571428,golang_go_rsc_at_golang.org,golang/go,OSS,4
17,18,0,0,0,3,1.0,0.42857142857142855,4.664285714285714,golang_go_rsc_at_golang.org,golang/go,OSS,4
18,17,0,0,0,5,1.0,0.7142857142857143,4.457142857142856,golang_go_rsc_at_golang.org,golang/go,OSS,4
19,16,0,0,0,5,1.0,0.7142857142857143,4.207142857142856,golang_go_rsc_at_golang.org,golang/go,OSS,4
