week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,5,0,0,0,1,0.25,0.14285714285714285,1.2964285714285713,hotosm_tasking-manager_27856297+dependabot-preview[bot]_at_users.noreply.github.com,hotosm/tasking-manager,OSS4SG,0
1,2,0,0,0,1,0.5,0.14285714285714285,0.5714285714285715,hotosm_tasking-manager_27856297+dependabot-preview[bot]_at_users.noreply.github.com,hotosm/tasking-manager,OSS4SG,0
2,2,0,0,0,2,0.75,0.2857142857142857,0.6178571428571429,hotosm_tasking-manager_27856297+dependabot-preview[bot]_at_users.noreply.github.com,hotosm/tasking-manager,OSS4SG,0
3,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,hotosm_tasking-manager_27856297+dependabot-preview[bot]_at_users.noreply.github.com,hotosm/tasking-manager,OSS4SG,0
4,0,0,0,0,0,0.75,0.0,0.07500000000000001,hotosm_tasking-manager_27856297+dependabot-preview[bot]_at_users.noreply.github.com,hotosm/tasking-manager,OSS4SG,1
5,4,0,0,0,4,0.75,0.5714285714285714,1.1607142857142856,hotosm_tasking-manager_27856297+dependabot-preview[bot]_at_users.noreply.github.com,hotosm/tasking-manager,OSS4SG,1
6,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,hotosm_tasking-manager_27856297+dependabot-preview[bot]_at_users.noreply.github.com,hotosm/tasking-manager,OSS4SG,1
7,3,0,0,0,2,0.75,0.2857142857142857,0.8678571428571429,hotosm_tasking-manager_27856297+dependabot-preview[bot]_at_users.noreply.github.com,hotosm/tasking-manager,OSS4SG,1
8,4,0,0,0,3,1.0,0.42857142857142855,1.1642857142857144,hotosm_tasking-manager_27856297+dependabot-preview[bot]_at_users.noreply.github.com,hotosm/tasking-manager,OSS4SG,2
9,0,0,0,0,0,0.75,0.0,0.07500000000000001,hotosm_tasking-manager_27856297+dependabot-preview[bot]_at_users.noreply.github.com,hotosm/tasking-manager,OSS4SG,2
10,5,0,0,0,4,0.75,0.5714285714285714,1.4107142857142856,hotosm_tasking-manager_27856297+dependabot-preview[bot]_at_users.noreply.github.com,hotosm/tasking-manager,OSS4SG,2
