week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
-30,0,0,1,3,1,0.25,0.14285714285714285,0.6464285714285715,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-8
-29,0,0,1,1,1,0.5,0.14285714285714285,0.3714285714285714,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-8
-28,0,1,2,5,3,0.75,0.42857142857142855,1.3892857142857142,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-7
-27,0,5,7,3,4,1.0,0.5714285714285714,2.685714285714286,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-7
-26,0,1,4,3,2,1.0,0.2857142857142857,1.392857142857143,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-7
-25,0,0,0,0,0,0.75,0.0,0.07500000000000001,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-7
-24,0,2,1,2,2,0.75,0.2857142857142857,0.967857142857143,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-6
-23,0,0,0,1,1,0.75,0.14285714285714285,0.24642857142857144,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-6
-22,0,0,1,1,1,0.75,0.14285714285714285,0.3964285714285714,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-6
-21,0,0,0,0,0,0.75,0.0,0.07500000000000001,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-6
-20,0,2,1,1,2,0.75,0.2857142857142857,0.8178571428571428,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-5
-19,0,0,0,0,0,0.5,0.0,0.05,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-5
-18,0,0,0,0,0,0.25,0.0,0.025,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-5
-17,0,2,0,4,2,0.5,0.2857142857142857,1.092857142857143,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-5
-16,0,0,9,4,3,0.5,0.42857142857142855,2.064285714285714,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-4
-15,0,4,14,6,3,0.75,0.42857142857142855,3.939285714285715,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-4
-14,0,1,6,3,2,1.0,0.2857142857142857,1.6928571428571428,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-4
-13,0,1,2,1,2,1.0,0.2857142857142857,0.7928571428571428,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-4
-12,0,2,6,2,3,1.0,0.42857142857142855,1.7642857142857142,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-3
-11,0,0,3,1,1,1.0,0.14285714285714285,0.7214285714285714,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-3
-10,0,1,1,1,1,1.0,0.14285714285714285,0.6214285714285714,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-3
-9,0,0,3,1,1,1.0,0.14285714285714285,0.7214285714285714,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-3
-8,0,0,0,0,0,0.75,0.0,0.07500000000000001,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-2
-7,0,6,5,4,4,0.75,0.5714285714285714,2.7107142857142863,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-2
-6,0,1,1,0,1,0.75,0.14285714285714285,0.4464285714285714,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-2
-5,0,0,0,0,0,0.5,0.0,0.05,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-2
-4,0,2,4,6,2,0.75,0.2857142857142857,2.017857142857143,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-1
-3,0,0,0,2,1,0.75,0.14285714285714285,0.3964285714285714,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-1
-2,0,0,2,3,2,0.75,0.2857142857142857,0.8678571428571429,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-1
-1,0,2,3,3,3,1.0,0.42857142857142855,1.4642857142857142,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,-1
0,10,1,1,5,4,1.0,0.5714285714285714,3.785714285714286,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,0
1,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,0
2,4,1,2,1,3,1.0,0.42857142857142855,1.8142857142857143,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,0
3,2,0,0,1,2,1.0,0.2857142857142857,0.7928571428571428,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,0
4,0,0,0,0,0,0.75,0.0,0.07500000000000001,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,1
5,0,0,0,0,0,0.5,0.0,0.05,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,1
6,0,0,9,5,3,0.5,0.42857142857142855,2.2142857142857135,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,1
7,0,0,0,1,1,0.5,0.14285714285714285,0.22142857142857142,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,1
8,2,1,1,0,1,0.75,0.14285714285714285,0.9464285714285714,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,2
9,0,0,0,2,2,1.0,0.2857142857142857,0.44285714285714284,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,2
10,0,0,0,1,1,1.0,0.14285714285714285,0.27142857142857146,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,2
11,9,2,4,4,2,1.0,0.2857142857142857,3.992857142857143,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,2
12,0,0,0,0,0,0.75,0.0,0.07500000000000001,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,3
13,2,1,15,3,3,0.75,0.42857142857142855,3.5392857142857146,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,3
14,0,0,0,0,0,0.5,0.0,0.05,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,3
15,0,0,0,0,0,0.25,0.0,0.025,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,3
16,0,0,0,0,0,0.25,0.0,0.025,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,4
17,0,0,0,0,0,0.0,0.0,0.0,jembi_openhim-core-js_rg.crichton_at_gmail.com,jembi/openhim-core-js,OSS4SG,4
