week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
-27,0,0,4,1,1,0.25,0.14285714285714285,0.7964285714285715,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-7
-26,0,0,0,0,0,0.25,0.0,0.025,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-7
-25,0,0,0,0,0,0.25,0.0,0.025,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-7
-24,0,0,0,0,0,0.25,0.0,0.025,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-6
-23,0,0,0,0,0,0.0,0.0,0.0,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-6
-22,0,0,0,0,0,0.0,0.0,0.0,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-6
-21,0,0,0,0,0,0.0,0.0,0.0,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-6
-20,0,0,0,0,0,0.0,0.0,0.0,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-5
-19,0,0,0,0,0,0.0,0.0,0.0,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-5
-18,0,0,0,0,0,0.0,0.0,0.0,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-5
-17,0,0,0,0,0,0.0,0.0,0.0,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-5
-16,0,0,0,0,0,0.0,0.0,0.0,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-4
-15,0,0,0,0,0,0.0,0.0,0.0,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-4
-14,0,0,0,0,0,0.0,0.0,0.0,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-4
-13,0,0,0,0,0,0.0,0.0,0.0,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-4
-12,0,0,0,0,0,0.0,0.0,0.0,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-3
-11,0,0,0,0,0,0.0,0.0,0.0,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-3
-10,0,0,0,0,0,0.0,0.0,0.0,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-3
-9,0,0,0,0,0,0.0,0.0,0.0,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-3
-8,0,0,0,0,0,0.0,0.0,0.0,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-2
-7,0,0,0,0,0,0.0,0.0,0.0,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-2
-6,0,0,0,0,0,0.0,0.0,0.0,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-2
-5,0,0,0,0,0,0.0,0.0,0.0,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-2
-4,0,0,0,0,0,0.0,0.0,0.0,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-1
-3,0,0,0,0,0,0.0,0.0,0.0,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-1
-2,0,0,0,0,0,0.0,0.0,0.0,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-1
-1,0,0,0,0,0,0.0,0.0,0.0,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,-1
0,5,1,9,1,3,0.25,0.42857142857142855,3.039285714285714,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,0
1,0,0,0,0,0,0.25,0.0,0.025,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,0
2,15,2,17,2,4,0.5,0.5714285714285714,7.135714285714285,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,0
3,0,0,8,0,1,0.75,0.14285714285714285,1.2964285714285713,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,0
4,7,1,2,0,2,0.75,0.2857142857142857,2.367857142857143,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,1
5,6,0,0,0,3,1.0,0.42857142857142855,1.6642857142857144,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,1
6,1,0,6,1,2,1.0,0.2857142857142857,1.4428571428571428,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,1
7,14,1,7,0,4,1.0,0.5714285714285714,4.935714285714285,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,1
8,7,0,0,0,1,1.0,0.14285714285714285,1.8714285714285714,josdejong_mathjs_max_at_maxbruckner.de,josdejong/mathjs,OSS,2
