week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,kubernetes_kubernetes_admin_at_toph.ca,kubernetes/kubernetes,OSS,0
1,0,0,0,0,0,0.25,0.0,0.025,kubernetes_kubernetes_admin_at_toph.ca,kubernetes/kubernetes,OSS,0
2,2,0,0,0,1,0.5,0.14285714285714285,0.5714285714285715,kubernetes_kubernetes_admin_at_toph.ca,kubernetes/kubernetes,OSS,0
3,2,0,0,0,2,0.75,0.2857142857142857,0.6178571428571429,kubernetes_kubernetes_admin_at_toph.ca,kubernetes/kubernetes,OSS,0
4,0,0,0,0,0,0.5,0.0,0.05,kubernetes_kubernetes_admin_at_toph.ca,kubernetes/kubernetes,OSS,1
5,0,0,0,0,0,0.5,0.0,0.05,kubernetes_kubernetes_admin_at_toph.ca,kubernetes/kubernetes,OSS,1
6,2,0,0,0,2,0.5,0.2857142857142857,0.5928571428571429,kubernetes_kubernetes_admin_at_toph.ca,kubernetes/kubernetes,OSS,1
7,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,kubernetes_kubernetes_admin_at_toph.ca,kubernetes/kubernetes,OSS,1
8,3,0,0,0,3,0.75,0.42857142857142855,0.8892857142857142,kubernetes_kubernetes_admin_at_toph.ca,kubernetes/kubernetes,OSS,2
9,2,0,0,0,1,1.0,0.14285714285714285,0.6214285714285714,kubernetes_kubernetes_admin_at_toph.ca,kubernetes/kubernetes,OSS,2
10,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,kubernetes_kubernetes_admin_at_toph.ca,kubernetes/kubernetes,OSS,2
11,2,0,0,0,2,1.0,0.2857142857142857,0.6428571428571428,kubernetes_kubernetes_admin_at_toph.ca,kubernetes/kubernetes,OSS,2
12,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,kubernetes_kubernetes_admin_at_toph.ca,kubernetes/kubernetes,OSS,3
