week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,1,1,4,0,3,0.25,0.42857142857142855,1.1392857142857142,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,0
1,3,1,7,0,2,0.5,0.2857142857142857,2.0928571428571425,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,0
2,1,2,6,0,3,0.75,0.42857142857142855,1.689285714285714,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,0
3,1,2,16,2,2,1.0,0.2857142857142857,3.4928571428571424,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,0
4,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,1
5,3,3,18,1,2,1.0,0.2857142857142857,4.3428571428571425,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,1
6,1,1,20,1,2,1.0,0.2857142857142857,3.742857142857143,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,1
7,4,3,33,4,3,1.0,0.42857142857142855,7.314285714285714,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,1
8,4,4,10,0,3,1.0,0.42857142857142855,3.464285714285714,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,2
9,0,0,1,1,1,1.0,0.14285714285714285,0.4214285714285714,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,2
10,2,2,49,2,2,1.0,0.2857142857142857,8.692857142857143,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,2
11,5,4,7,0,2,1.0,0.2857142857142857,3.2428571428571424,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,2
12,8,6,22,2,5,1.0,0.7142857142857143,7.007142857142856,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,3
13,1,2,2,0,2,1.0,0.2857142857142857,1.0928571428571427,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,3
14,0,0,0,0,0,0.75,0.0,0.07500000000000001,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,3
15,1,1,1,1,1,0.75,0.14285714285714285,0.8464285714285715,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,3
16,0,0,0,0,0,0.5,0.0,0.05,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,4
17,0,0,0,0,0,0.25,0.0,0.025,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,4
18,0,0,0,0,0,0.25,0.0,0.025,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,4
19,0,0,0,0,0,0.0,0.0,0.0,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,4
20,0,0,0,0,0,0.0,0.0,0.0,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,5
21,5,5,13,1,4,0.25,0.5714285714285714,4.460714285714286,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,5
22,1,1,1,0,1,0.5,0.14285714285714285,0.6714285714285715,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,5
23,9,8,31,3,5,0.75,0.7142857142857143,9.132142857142856,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,5
24,5,5,25,1,5,1.0,0.7142857142857143,6.357142857142857,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,6
25,3,3,19,0,2,1.0,0.2857142857142857,4.3428571428571425,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,6
26,7,6,18,2,5,1.0,0.7142857142857143,6.157142857142857,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,6
27,0,0,2,1,1,1.0,0.14285714285714285,0.5714285714285714,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,6
28,1,1,14,4,3,1.0,0.42857142857142855,3.3142857142857145,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,7
29,3,2,42,4,4,1.0,0.5714285714285714,8.235714285714284,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,7
30,4,4,46,4,4,1.0,0.5714285714285714,9.485714285714284,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,7
31,3,3,37,1,3,1.0,0.42857142857142855,7.214285714285714,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,7
32,3,3,33,2,4,1.0,0.5714285714285714,6.785714285714286,kubernetes_kubernetes_shyamjvs_at_google.com,kubernetes/kubernetes,OSS,8
