week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
-2,0,0,3,0,1,0.25,0.14285714285714285,0.4964285714285714,learningequality_kolibri_jamalex_at_gmail.com,learningequality/kolibri,OSS4SG,-1
-1,0,0,0,0,0,0.25,0.0,0.025,learningequality_kolibri_jamalex_at_gmail.com,learningequality/kolibri,OSS4SG,-1
0,11,1,8,0,3,0.5,0.42857142857142855,4.264285714285714,learningequality_kolibri_jamalex_at_gmail.com,learningequality/kolibri,OSS4SG,0
1,3,0,0,0,1,0.75,0.14285714285714285,0.8464285714285715,learningequality_kolibri_jamalex_at_gmail.com,learningequality/kolibri,OSS4SG,0
2,7,1,9,0,3,0.75,0.42857142857142855,3.439285714285714,learningequality_kolibri_jamalex_at_gmail.com,learningequality/kolibri,OSS4SG,0
3,9,1,10,0,2,1.0,0.2857142857142857,4.0928571428571425,learningequality_kolibri_jamalex_at_gmail.com,learningequality/kolibri,OSS4SG,0
4,3,0,0,0,1,1.0,0.14285714285714285,0.8714285714285714,learningequality_kolibri_jamalex_at_gmail.com,learningequality/kolibri,OSS4SG,1
5,3,0,0,0,2,1.0,0.2857142857142857,0.8928571428571428,learningequality_kolibri_jamalex_at_gmail.com,learningequality/kolibri,OSS4SG,1
6,9,0,0,0,1,1.0,0.14285714285714285,2.3714285714285714,learningequality_kolibri_jamalex_at_gmail.com,learningequality/kolibri,OSS4SG,1
7,23,0,0,0,4,1.0,0.5714285714285714,5.935714285714285,learningequality_kolibri_jamalex_at_gmail.com,learningequality/kolibri,OSS4SG,1
8,6,0,0,0,2,1.0,0.2857142857142857,1.642857142857143,learningequality_kolibri_jamalex_at_gmail.com,learningequality/kolibri,OSS4SG,2
9,10,1,7,0,3,1.0,0.42857142857142855,3.914285714285714,learningequality_kolibri_jamalex_at_gmail.com,learningequality/kolibri,OSS4SG,2
