week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,0
1,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,0
2,0,0,0,0,0,0.5,0.0,0.05,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,0
3,0,0,0,0,0,0.5,0.0,0.05,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,0
4,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,1
5,0,0,0,0,0,0.25,0.0,0.025,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,1
6,0,0,0,0,0,0.25,0.0,0.025,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,1
7,0,0,0,0,0,0.25,0.0,0.025,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,1
8,0,0,0,0,0,0.0,0.0,0.0,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,2
9,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,2
10,5,0,0,0,2,0.5,0.2857142857142857,1.342857142857143,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,2
11,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,2
12,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,3
13,0,0,0,0,0,0.75,0.0,0.07500000000000001,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,3
14,0,0,0,0,0,0.5,0.0,0.05,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,3
15,0,0,0,0,0,0.25,0.0,0.025,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,3
16,0,0,0,0,0,0.0,0.0,0.0,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,4
17,0,0,0,0,0,0.0,0.0,0.0,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,4
18,0,0,0,0,0,0.0,0.0,0.0,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,4
19,0,0,0,0,0,0.0,0.0,0.0,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,4
20,0,0,0,0,0,0.0,0.0,0.0,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,5
21,0,0,0,0,0,0.0,0.0,0.0,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,5
22,0,0,0,0,0,0.0,0.0,0.0,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,5
23,10,0,0,0,3,0.25,0.42857142857142855,2.589285714285714,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,5
24,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,6
25,3,0,0,0,3,0.75,0.42857142857142855,0.8892857142857142,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,6
26,0,0,0,0,0,0.75,0.0,0.07500000000000001,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,6
27,0,0,0,0,0,0.5,0.0,0.05,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,6
28,2,0,0,0,2,0.5,0.2857142857142857,0.5928571428571429,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,7
29,0,0,0,0,0,0.25,0.0,0.025,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,7
30,0,0,0,0,0,0.25,0.0,0.025,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,7
31,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,7
32,2,0,0,0,2,0.5,0.2857142857142857,0.5928571428571429,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,8
33,2,0,0,0,2,0.75,0.2857142857142857,0.6178571428571429,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,8
34,5,0,0,0,3,1.0,0.42857142857142855,1.4142857142857144,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,8
35,0,0,0,0,0,0.75,0.0,0.07500000000000001,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,8
36,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,9
37,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,9
38,0,0,0,0,0,0.5,0.0,0.05,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,9
39,0,0,0,0,0,0.5,0.0,0.05,learningequality_kolibri_jonboiser_at_users.noreply.github.com,learningequality/kolibri,OSS4SG,9
