week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,3,0,0,0,1,0.25,0.14285714285714285,0.7964285714285715,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,0
1,0,0,0,0,0,0.25,0.0,0.025,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,0
2,2,0,0,0,1,0.5,0.14285714285714285,0.5714285714285715,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,0
3,6,0,0,0,6,0.75,0.8571428571428571,1.7035714285714285,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,0
4,3,0,0,0,3,0.75,0.42857142857142855,0.8892857142857142,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,1
5,3,0,0,0,3,1.0,0.42857142857142855,0.9142857142857143,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,1
6,5,0,0,0,4,1.0,0.5714285714285714,1.4357142857142857,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,1
7,9,0,0,0,5,1.0,0.7142857142857143,2.4571428571428573,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,1
8,4,0,0,0,3,1.0,0.42857142857142855,1.1642857142857144,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,2
9,5,0,0,0,5,1.0,0.7142857142857143,1.4571428571428573,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,2
10,4,0,0,0,3,1.0,0.42857142857142855,1.1642857142857144,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,2
11,10,0,0,0,6,1.0,0.8571428571428571,2.7285714285714286,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,2
12,6,0,0,0,4,1.0,0.5714285714285714,1.6857142857142857,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,3
13,4,0,0,0,4,1.0,0.5714285714285714,1.1857142857142857,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,3
14,4,0,0,0,4,1.0,0.5714285714285714,1.1857142857142857,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,3
15,6,0,0,0,6,1.0,0.8571428571428571,1.7285714285714286,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,3
16,5,0,0,0,5,1.0,0.7142857142857143,1.4571428571428573,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,4
17,3,0,0,0,3,1.0,0.42857142857142855,0.9142857142857143,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,4
18,3,0,0,0,3,1.0,0.42857142857142855,0.9142857142857143,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,4
19,4,0,0,0,4,1.0,0.5714285714285714,1.1857142857142857,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,4
20,4,0,1,1,5,1.0,0.7142857142857143,1.5071428571428571,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,5
21,4,0,0,0,4,1.0,0.5714285714285714,1.1857142857142857,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,5
22,4,0,0,0,4,1.0,0.5714285714285714,1.1857142857142857,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,5
23,4,0,0,0,4,1.0,0.5714285714285714,1.1857142857142857,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,5
24,3,0,0,0,3,1.0,0.42857142857142855,0.9142857142857143,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,6
25,5,0,0,0,5,1.0,0.7142857142857143,1.4571428571428573,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,6
26,5,0,0,0,5,1.0,0.7142857142857143,1.4571428571428573,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,6
27,3,0,0,0,3,1.0,0.42857142857142855,0.9142857142857143,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,6
28,3,0,0,0,3,1.0,0.42857142857142855,0.9142857142857143,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,7
29,3,0,0,0,3,1.0,0.42857142857142855,0.9142857142857143,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,7
30,4,0,0,0,4,1.0,0.5714285714285714,1.1857142857142857,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,7
31,2,0,0,0,2,1.0,0.2857142857142857,0.6428571428571428,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,7
32,4,0,0,0,4,1.0,0.5714285714285714,1.1857142857142857,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,8
33,4,0,0,0,4,1.0,0.5714285714285714,1.1857142857142857,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,8
34,6,0,0,0,5,1.0,0.7142857142857143,1.7071428571428573,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,8
35,2,0,0,0,2,1.0,0.2857142857142857,0.6428571428571428,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,8
36,6,0,0,0,6,1.0,0.8571428571428571,1.7285714285714286,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,9
37,6,0,0,0,6,1.0,0.8571428571428571,1.7285714285714286,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,9
38,4,0,0,0,4,1.0,0.5714285714285714,1.1857142857142857,liberapay_liberapay.com_victor_at_tuxayo.net,liberapay/liberapay.com,OSS4SG,9
