week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
-46,0,0,1,1,1,0.25,0.14285714285714285,0.3464285714285714,lra_mackup_7539871+paxperscientiam_at_users.noreply.github.com,lra/mackup,OSS,-12
-45,0,2,1,1,2,0.5,0.2857142857142857,0.7928571428571429,lra_mackup_7539871+paxperscientiam_at_users.noreply.github.com,lra/mackup,OSS,-12
-44,0,1,0,0,1,0.75,0.14285714285714285,0.2964285714285715,lra_mackup_7539871+paxperscientiam_at_users.noreply.github.com,lra/mackup,OSS,-11
-43,0,0,0,0,0,0.75,0.0,0.07500000000000001,lra_mackup_7539871+paxperscientiam_at_users.noreply.github.com,lra/mackup,OSS,-11
-42,0,0,0,0,0,0.5,0.0,0.05,lra_mackup_7539871+paxperscientiam_at_users.noreply.github.com,lra/mackup,OSS,-11
-41,0,0,0,0,0,0.25,0.0,0.025,lra_mackup_7539871+paxperscientiam_at_users.noreply.github.com,lra/mackup,OSS,-11
-40,0,0,0,0,0,0.0,0.0,0.0,lra_mackup_7539871+paxperscientiam_at_users.noreply.github.com,lra/mackup,OSS,-10
-39,0,0,0,0,0,0.0,0.0,0.0,lra_mackup_7539871+paxperscientiam_at_users.noreply.github.com,lra/mackup,OSS,-10
-38,0,0,0,0,0,0.0,0.0,0.0,lra_mackup_7539871+paxperscientiam_at_users.noreply.github.com,lra/mackup,OSS,-10
-37,0,0,0,0,0,0.0,0.0,0.0,lra_mackup_7539871+paxperscientiam_at_users.noreply.github.com,lra/mackup,OSS,-10
-36,0,3,1,0,1,0.25,0.14285714285714285,0.7964285714285716,lra_mackup_7539871+paxperscientiam_at_users.noreply.github.com,lra/mackup,OSS,-9
-35,0,0,0,0,0,0.25,0.0,0.025,lra_mackup_7539871+paxperscientiam_at_users.noreply.github.com,lra/mackup,OSS,-9
-34,0,0,0,0,0,0.25,0.0,0.025,lra_mackup_7539871+paxperscientiam_at_users.noreply.github.com,lra/mackup,OSS,-9
-33,0,0,0,1,1,0.5,0.14285714285714285,0.22142857142857142,lra_mackup_7539871+paxperscientiam_at_users.noreply.github.com,lra/mackup,OSS,-9
-32,0,0,0,0,0,0.25,0.0,0.025,lra_mackup_7539871+paxperscientiam_at_users.noreply.github.com,lra/mackup,OSS,-8
-31,0,0,0,0,0,0.25,0.0,0.025,lra_mackup_7539871+paxperscientiam_at_users.noreply.github.com,lra/mackup,OSS,-8
-30,0,0,0,0,0,0.25,0.0,0.025,lra_mackup_7539871+paxperscientiam_at_users.noreply.github.com,lra/mackup,OSS,-8
-29,0,0,0,0,0,0.0,0.0,0.0,lra_mackup_7539871+paxperscientiam_at_users.noreply.github.com,lra/mackup,OSS,-8
-28,0,0,0,0,0,0.0,0.0,0.0,lra_mackup_7539871+paxperscientiam_at_users.noreply.github.com,lra/mackup,OSS,-7
-27,0,0,0,0,0,0.0,0.0,0.0,lra_mackup_7539871+paxperscientiam_at_users.noreply.github.com,lra/mackup,OSS,-7
-26,0,0,0,0,0,0.0,0.0,0.0,lra_mackup_7539871+paxperscientiam_at_users.noreply.github.com,lra/mackup,OSS,-7
-25,0,0,0,0,0,0.0,0.0,0.0,lra_mackup_7539871+paxperscientiam_at_users.noreply.github.com,lra/mackup,OSS,-7
-24,0,0,0,0,0,0.0,0.0,0.0,lra_mackup_7539871+paxperscientiam_at_users.noreply.github.com,lra/mackup,OSS,-6
