week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,2,0,0,0,1,0.25,0.14285714285714285,0.5464285714285715,magma_magma_38202471+pruthvihebbani_at_users.noreply.github.com,magma/magma,OSS4SG,0
1,0,0,0,0,0,0.25,0.0,0.025,magma_magma_38202471+pruthvihebbani_at_users.noreply.github.com,magma/magma,OSS4SG,0
2,1,2,1,0,1,0.5,0.14285714285714285,0.8714285714285716,magma_magma_38202471+pruthvihebbani_at_users.noreply.github.com,magma/magma,OSS4SG,0
3,1,3,5,1,3,0.75,0.42857142857142855,1.8892857142857142,magma_magma_38202471+pruthvihebbani_at_users.noreply.github.com,magma/magma,OSS4SG,0
4,6,4,2,0,4,0.75,0.5714285714285714,2.7607142857142857,magma_magma_38202471+pruthvihebbani_at_users.noreply.github.com,magma/magma,OSS4SG,1
5,2,2,0,0,3,1.0,0.42857142857142855,1.0642857142857143,magma_magma_38202471+pruthvihebbani_at_users.noreply.github.com,magma/magma,OSS4SG,1
6,3,0,0,0,1,1.0,0.14285714285714285,0.8714285714285714,magma_magma_38202471+pruthvihebbani_at_users.noreply.github.com,magma/magma,OSS4SG,1
7,1,1,1,0,2,1.0,0.2857142857142857,0.7428571428571428,magma_magma_38202471+pruthvihebbani_at_users.noreply.github.com,magma/magma,OSS4SG,1
8,0,0,0,0,0,0.75,0.0,0.07500000000000001,magma_magma_38202471+pruthvihebbani_at_users.noreply.github.com,magma/magma,OSS4SG,2
9,0,0,2,1,1,0.75,0.14285714285714285,0.5464285714285714,magma_magma_38202471+pruthvihebbani_at_users.noreply.github.com,magma/magma,OSS4SG,2
10,1,1,0,0,1,0.75,0.14285714285714285,0.5464285714285715,magma_magma_38202471+pruthvihebbani_at_users.noreply.github.com,magma/magma,OSS4SG,2
11,0,0,0,0,0,0.5,0.0,0.05,magma_magma_38202471+pruthvihebbani_at_users.noreply.github.com,magma/magma,OSS4SG,2
12,0,2,1,0,2,0.75,0.2857142857142857,0.6678571428571429,magma_magma_38202471+pruthvihebbani_at_users.noreply.github.com,magma/magma,OSS4SG,3
13,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,magma_magma_38202471+pruthvihebbani_at_users.noreply.github.com,magma/magma,OSS4SG,3
14,2,3,0,0,2,0.75,0.2857142857142857,1.217857142857143,magma_magma_38202471+pruthvihebbani_at_users.noreply.github.com,magma/magma,OSS4SG,3
15,1,2,0,0,3,1.0,0.42857142857142855,0.8142857142857143,magma_magma_38202471+pruthvihebbani_at_users.noreply.github.com,magma/magma,OSS4SG,3
16,2,2,0,0,2,1.0,0.2857142857142857,1.042857142857143,magma_magma_38202471+pruthvihebbani_at_users.noreply.github.com,magma/magma,OSS4SG,4
17,0,0,0,0,1,0.75,0.14285714285714285,0.09642857142857143,magma_magma_38202471+pruthvihebbani_at_users.noreply.github.com,magma/magma,OSS4SG,4
18,5,2,1,0,4,0.75,0.5714285714285714,1.9607142857142854,magma_magma_38202471+pruthvihebbani_at_users.noreply.github.com,magma/magma,OSS4SG,4
19,1,1,0,0,2,0.75,0.2857142857142857,0.5678571428571428,magma_magma_38202471+pruthvihebbani_at_users.noreply.github.com,magma/magma,OSS4SG,4
