week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,1,2,2,0,2,0.25,0.2857142857142857,1.0178571428571428,magma_magma_jkmar_at_users.noreply.github.com,magma/magma,OSS4SG,0
1,2,1,0,0,2,0.5,0.2857142857142857,0.7928571428571428,magma_magma_jkmar_at_users.noreply.github.com,magma/magma,OSS4SG,0
2,2,2,0,0,3,0.75,0.42857142857142855,1.0392857142857144,magma_magma_jkmar_at_users.noreply.github.com,magma/magma,OSS4SG,0
3,2,2,1,0,3,1.0,0.42857142857142855,1.2142857142857144,magma_magma_jkmar_at_users.noreply.github.com,magma/magma,OSS4SG,0
4,2,4,2,0,4,1.0,0.5714285714285714,1.7857142857142858,magma_magma_jkmar_at_users.noreply.github.com,magma/magma,OSS4SG,1
5,5,3,0,0,4,1.0,0.5714285714285714,2.0357142857142856,magma_magma_jkmar_at_users.noreply.github.com,magma/magma,OSS4SG,1
6,3,3,0,0,4,1.0,0.5714285714285714,1.5357142857142858,magma_magma_jkmar_at_users.noreply.github.com,magma/magma,OSS4SG,1
7,3,3,0,0,4,1.0,0.5714285714285714,1.5357142857142858,magma_magma_jkmar_at_users.noreply.github.com,magma/magma,OSS4SG,1
8,2,3,0,0,2,1.0,0.2857142857142857,1.242857142857143,magma_magma_jkmar_at_users.noreply.github.com,magma/magma,OSS4SG,2
9,7,6,0,0,4,1.0,0.5714285714285714,3.135714285714286,magma_magma_jkmar_at_users.noreply.github.com,magma/magma,OSS4SG,2
10,6,6,0,0,5,1.0,0.7142857142857143,2.9071428571428575,magma_magma_jkmar_at_users.noreply.github.com,magma/magma,OSS4SG,2
11,2,3,1,0,3,1.0,0.42857142857142855,1.4142857142857144,magma_magma_jkmar_at_users.noreply.github.com,magma/magma,OSS4SG,2
12,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,magma_magma_jkmar_at_users.noreply.github.com,magma/magma,OSS4SG,3
13,2,3,1,0,4,1.0,0.5714285714285714,1.4357142857142857,magma_magma_jkmar_at_users.noreply.github.com,magma/magma,OSS4SG,3
