week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,0
1,0,0,0,0,0,0.25,0.0,0.025,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,0
2,0,0,0,0,0,0.25,0.0,0.025,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,0
3,0,0,0,0,0,0.25,0.0,0.025,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,0
4,0,0,0,0,0,0.0,0.0,0.0,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,1
5,0,0,0,0,0,0.0,0.0,0.0,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,1
6,0,0,0,0,0,0.0,0.0,0.0,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,1
7,0,0,0,0,0,0.0,0.0,0.0,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,1
8,0,0,0,0,0,0.0,0.0,0.0,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,2
9,0,0,0,0,0,0.0,0.0,0.0,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,2
10,0,0,0,0,0,0.0,0.0,0.0,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,2
11,0,0,0,0,0,0.0,0.0,0.0,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,2
12,0,0,0,0,0,0.0,0.0,0.0,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,3
13,0,0,0,0,0,0.0,0.0,0.0,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,3
14,0,0,0,0,0,0.0,0.0,0.0,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,3
15,0,0,0,0,0,0.0,0.0,0.0,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,3
16,0,0,0,0,0,0.0,0.0,0.0,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,4
17,0,0,0,0,0,0.0,0.0,0.0,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,4
18,0,0,0,0,0,0.0,0.0,0.0,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,4
19,5,0,0,0,2,0.25,0.2857142857142857,1.3178571428571428,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,4
20,0,0,0,0,0,0.25,0.0,0.025,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,5
21,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,5
22,3,0,0,0,2,0.75,0.2857142857142857,0.8678571428571429,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,5
23,3,0,0,0,3,0.75,0.42857142857142855,0.8892857142857142,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,5
24,2,0,0,0,2,1.0,0.2857142857142857,0.6428571428571428,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,6
25,4,0,0,0,3,1.0,0.42857142857142855,1.1642857142857144,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,6
26,0,0,0,0,0,0.75,0.0,0.07500000000000001,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,6
27,0,0,0,0,0,0.5,0.0,0.05,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,6
28,0,0,0,0,0,0.25,0.0,0.025,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,7
29,0,0,0,0,0,0.0,0.0,0.0,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,7
30,0,0,0,0,0,0.0,0.0,0.0,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,7
31,0,0,0,0,0,0.0,0.0,0.0,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,7
32,0,0,0,0,0,0.0,0.0,0.0,mysociety_alaveteli_liz_at_mysociety.org,mysociety/alaveteli,OSS4SG,8
