week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,3,0,0,0,3,0.25,0.42857142857142855,0.8392857142857143,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,0
1,7,0,0,0,5,0.5,0.7142857142857143,1.9071428571428573,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,0
2,7,0,0,0,4,0.75,0.5714285714285714,1.9107142857142856,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,0
3,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,0
4,10,0,0,0,6,1.0,0.8571428571428571,2.7285714285714286,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,1
5,8,0,0,0,3,1.0,0.42857142857142855,2.164285714285714,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,1
6,13,0,0,0,3,1.0,0.42857142857142855,3.414285714285714,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,1
7,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,1
8,0,0,0,0,0,0.75,0.0,0.07500000000000001,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,2
9,6,0,0,0,3,0.75,0.42857142857142855,1.6392857142857142,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,2
10,0,0,0,0,0,0.5,0.0,0.05,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,2
11,0,0,0,0,0,0.25,0.0,0.025,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,2
12,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,3
13,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,3
14,19,0,0,0,4,0.75,0.5714285714285714,4.910714285714286,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,3
15,14,0,0,0,4,1.0,0.5714285714285714,3.685714285714286,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,3
16,4,0,0,0,2,1.0,0.2857142857142857,1.142857142857143,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,4
17,5,0,0,0,1,1.0,0.14285714285714285,1.3714285714285714,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,4
18,3,0,0,0,2,1.0,0.2857142857142857,0.8928571428571428,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,4
19,0,0,0,0,0,0.75,0.0,0.07500000000000001,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,4
20,0,0,0,0,0,0.5,0.0,0.05,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,5
21,0,0,0,0,0,0.25,0.0,0.025,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,5
22,0,0,0,0,0,0.0,0.0,0.0,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,5
23,0,0,0,0,0,0.0,0.0,0.0,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,5
24,0,0,0,0,0,0.0,0.0,0.0,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,6
25,0,0,0,0,0,0.0,0.0,0.0,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,6
26,0,0,0,0,0,0.0,0.0,0.0,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,6
27,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,6
28,0,0,0,0,0,0.25,0.0,0.025,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,7
29,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,7
30,0,0,0,0,0,0.5,0.0,0.05,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,7
31,0,0,0,0,0,0.25,0.0,0.025,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,7
32,0,0,0,0,0,0.25,0.0,0.025,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,8
33,0,0,0,0,0,0.0,0.0,0.0,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,8
34,0,0,0,0,0,0.0,0.0,0.0,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,8
35,0,0,0,0,0,0.0,0.0,0.0,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,8
36,0,0,0,0,0,0.0,0.0,0.0,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,9
37,5,0,0,0,3,0.25,0.42857142857142855,1.3392857142857142,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,9
38,0,0,0,0,0,0.25,0.0,0.025,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,9
39,0,0,0,0,0,0.25,0.0,0.025,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,9
40,0,0,0,0,0,0.25,0.0,0.025,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,10
41,0,0,0,0,0,0.0,0.0,0.0,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,10
42,0,0,0,0,0,0.0,0.0,0.0,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,10
43,0,0,0,0,0,0.0,0.0,0.0,netdata_netdata_vlad_at_prokk.net,netdata/netdata,OSS,10
