week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
-1,0,0,0,0,1,0.0,0.14285714285714285,0.021428571428571425,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,-1
0,2,0,0,0,2,0.25,0.2857142857142857,0.5678571428571428,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,0
1,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,0
2,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,0
3,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,0
4,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,1
5,0,0,0,0,0,0.75,0.0,0.07500000000000001,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,1
6,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,1
7,0,0,0,0,1,0.5,0.14285714285714285,0.07142857142857142,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,1
8,2,0,1,0,2,0.5,0.2857142857142857,0.7428571428571429,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,2
9,0,0,0,0,1,0.5,0.14285714285714285,0.07142857142857142,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,2
10,0,0,0,0,0,0.25,0.0,0.025,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,2
11,1,0,1,0,1,0.5,0.14285714285714285,0.4714285714285714,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,2
12,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,3
13,0,0,0,0,1,0.5,0.14285714285714285,0.07142857142857142,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,3
14,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,3
15,0,0,0,0,0,0.5,0.0,0.05,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,3
16,1,0,0,0,2,0.5,0.2857142857142857,0.34285714285714286,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,4
17,0,0,0,0,0,0.5,0.0,0.05,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,4
18,1,0,0,0,2,0.5,0.2857142857142857,0.34285714285714286,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,4
19,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,4
20,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,5
21,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,5
22,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,5
23,0,0,0,0,0,0.75,0.0,0.07500000000000001,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,5
24,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,6
25,0,0,0,0,0,0.5,0.0,0.05,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,6
26,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,6
27,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,6
28,0,0,0,0,0,0.5,0.0,0.05,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,7
29,0,0,0,0,0,0.5,0.0,0.05,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,7
30,0,0,0,0,0,0.25,0.0,0.025,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,7
31,0,0,0,0,0,0.0,0.0,0.0,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,7
32,1,1,0,0,2,0.25,0.2857142857142857,0.5178571428571429,nodejs_node_ops+robot_at_npmjs.com,nodejs/node,OSS,8
