week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,0
1,6,0,0,0,3,0.5,0.42857142857142855,1.6142857142857143,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,0
2,0,0,0,0,0,0.5,0.0,0.05,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,0
3,0,0,0,0,0,0.5,0.0,0.05,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,0
4,14,0,0,0,3,0.5,0.42857142857142855,3.614285714285714,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,1
5,3,0,0,0,2,0.5,0.2857142857142857,0.8428571428571429,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,1
6,5,0,0,0,2,0.75,0.2857142857142857,1.3678571428571429,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,1
7,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,1
8,3,0,0,0,1,1.0,0.14285714285714285,0.8714285714285714,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,2
9,0,0,0,0,0,0.75,0.0,0.07500000000000001,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,2
10,0,0,0,0,0,0.5,0.0,0.05,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,2
11,0,0,0,0,0,0.25,0.0,0.025,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,2
12,0,0,0,0,0,0.0,0.0,0.0,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,3
13,0,0,0,0,0,0.0,0.0,0.0,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,3
14,2,0,0,0,2,0.25,0.2857142857142857,0.5678571428571428,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,3
15,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,3
16,0,0,0,0,0,0.5,0.0,0.05,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,4
17,0,0,0,0,0,0.5,0.0,0.05,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,4
18,0,0,0,0,0,0.25,0.0,0.025,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,4
19,2,0,0,0,2,0.25,0.2857142857142857,0.5678571428571428,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,4
20,0,0,0,0,0,0.25,0.0,0.025,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,5
21,2,0,0,0,1,0.5,0.14285714285714285,0.5714285714285715,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,5
22,0,0,0,0,0,0.5,0.0,0.05,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,5
23,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,5
24,0,0,0,0,0,0.5,0.0,0.05,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,6
25,0,0,0,0,0,0.25,0.0,0.025,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,6
26,0,0,0,0,0,0.25,0.0,0.025,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,6
27,0,0,0,0,0,0.0,0.0,0.0,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,6
28,0,0,0,0,0,0.0,0.0,0.0,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,7
29,0,0,0,0,0,0.0,0.0,0.0,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,7
30,0,0,0,0,0,0.0,0.0,0.0,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,7
31,0,0,0,0,0,0.0,0.0,0.0,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,7
32,0,0,0,0,0,0.0,0.0,0.0,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,8
33,0,0,0,0,0,0.0,0.0,0.0,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,8
34,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,8
35,0,0,0,0,0,0.25,0.0,0.025,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,8
36,0,0,0,0,0,0.25,0.0,0.025,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,9
37,0,0,0,0,0,0.25,0.0,0.025,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,9
38,0,0,0,0,0,0.0,0.0,0.0,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,9
39,0,0,0,0,0,0.0,0.0,0.0,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,9
40,0,0,0,0,0,0.0,0.0,0.0,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,10
41,0,0,0,0,0,0.0,0.0,0.0,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,10
42,0,0,0,0,0,0.0,0.0,0.0,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,10
43,2,0,0,0,2,0.25,0.2857142857142857,0.5678571428571428,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,10
44,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,11
45,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,11
46,0,0,0,0,0,0.75,0.0,0.07500000000000001,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,11
47,0,0,0,0,0,0.5,0.0,0.05,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,11
48,1,1,0,0,1,0.5,0.14285714285714285,0.5214285714285715,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,12
49,0,0,0,0,0,0.25,0.0,0.025,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,12
50,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,12
51,0,0,0,0,0,0.5,0.0,0.05,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,12
52,0,0,0,0,0,0.25,0.0,0.025,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,13
53,1,1,0,0,1,0.5,0.14285714285714285,0.5214285714285715,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,13
54,0,0,0,0,0,0.25,0.0,0.025,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,13
55,0,0,0,0,0,0.25,0.0,0.025,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,13
56,0,0,0,0,0,0.25,0.0,0.025,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,14
57,1,1,0,0,2,0.25,0.2857142857142857,0.5178571428571429,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,14
58,1,1,0,0,1,0.5,0.14285714285714285,0.5214285714285715,ollama_ollama_mchiang0610_at_users.noreply.github.com,ollama/ollama,OSS,14
