week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
-2,0,2,12,3,4,0.25,0.5714285714285714,2.7607142857142852,openMF_android-client_94394661+aditya-gupta99_at_users.noreply.github.com,openMF/android-client,OSS4SG,-1
-1,0,1,13,5,2,0.5,0.2857142857142857,2.9928571428571424,openMF_android-client_94394661+aditya-gupta99_at_users.noreply.github.com,openMF/android-client,OSS4SG,-1
0,1,2,9,1,3,0.75,0.42857142857142855,2.2892857142857146,openMF_android-client_94394661+aditya-gupta99_at_users.noreply.github.com,openMF/android-client,OSS4SG,0
1,0,0,0,0,0,0.75,0.0,0.07500000000000001,openMF_android-client_94394661+aditya-gupta99_at_users.noreply.github.com,openMF/android-client,OSS4SG,0
2,0,2,4,1,1,0.75,0.14285714285714285,1.2464285714285712,openMF_android-client_94394661+aditya-gupta99_at_users.noreply.github.com,openMF/android-client,OSS4SG,0
3,0,0,0,0,0,0.5,0.0,0.05,openMF_android-client_94394661+aditya-gupta99_at_users.noreply.github.com,openMF/android-client,OSS4SG,0
4,0,3,8,5,4,0.5,0.5714285714285714,2.6857142857142855,openMF_android-client_94394661+aditya-gupta99_at_users.noreply.github.com,openMF/android-client,OSS4SG,1
5,0,1,1,0,1,0.75,0.14285714285714285,0.4464285714285714,openMF_android-client_94394661+aditya-gupta99_at_users.noreply.github.com,openMF/android-client,OSS4SG,1
6,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,openMF_android-client_94394661+aditya-gupta99_at_users.noreply.github.com,openMF/android-client,OSS4SG,1
7,0,1,6,0,1,1.0,0.14285714285714285,1.2214285714285713,openMF_android-client_94394661+aditya-gupta99_at_users.noreply.github.com,openMF/android-client,OSS4SG,1
8,0,0,0,0,0,0.75,0.0,0.07500000000000001,openMF_android-client_94394661+aditya-gupta99_at_users.noreply.github.com,openMF/android-client,OSS4SG,2
9,0,0,0,0,0,0.5,0.0,0.05,openMF_android-client_94394661+aditya-gupta99_at_users.noreply.github.com,openMF/android-client,OSS4SG,2
10,0,0,0,0,0,0.25,0.0,0.025,openMF_android-client_94394661+aditya-gupta99_at_users.noreply.github.com,openMF/android-client,OSS4SG,2
11,0,0,0,0,0,0.0,0.0,0.0,openMF_android-client_94394661+aditya-gupta99_at_users.noreply.github.com,openMF/android-client,OSS4SG,2
12,2,6,0,0,3,0.25,0.42857142857142855,1.7892857142857144,openMF_android-client_94394661+aditya-gupta99_at_users.noreply.github.com,openMF/android-client,OSS4SG,3
