week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
-6,0,0,13,1,3,0.25,0.42857142857142855,2.1892857142857145,openMF_android-client_therajanmaurya_at_users.noreply.github.com,openMF/android-client,OSS4SG,-2
-5,0,2,7,0,3,0.5,0.42857142857142855,1.5642857142857145,openMF_android-client_therajanmaurya_at_users.noreply.github.com,openMF/android-client,OSS4SG,-2
-4,0,0,0,0,0,0.5,0.0,0.05,openMF_android-client_therajanmaurya_at_users.noreply.github.com,openMF/android-client,OSS4SG,-1
-3,0,2,1,0,2,0.75,0.2857142857142857,0.6678571428571429,openMF_android-client_therajanmaurya_at_users.noreply.github.com,openMF/android-client,OSS4SG,-1
-2,0,0,0,0,0,0.5,0.0,0.05,openMF_android-client_therajanmaurya_at_users.noreply.github.com,openMF/android-client,OSS4SG,-1
-1,0,1,2,0,1,0.5,0.14285714285714285,0.5714285714285715,openMF_android-client_therajanmaurya_at_users.noreply.github.com,openMF/android-client,OSS4SG,-1
0,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,openMF_android-client_therajanmaurya_at_users.noreply.github.com,openMF/android-client,OSS4SG,0
1,0,0,0,0,0,0.5,0.0,0.05,openMF_android-client_therajanmaurya_at_users.noreply.github.com,openMF/android-client,OSS4SG,0
2,0,0,0,0,0,0.5,0.0,0.05,openMF_android-client_therajanmaurya_at_users.noreply.github.com,openMF/android-client,OSS4SG,0
3,0,0,0,0,0,0.25,0.0,0.025,openMF_android-client_therajanmaurya_at_users.noreply.github.com,openMF/android-client,OSS4SG,0
4,0,1,0,0,1,0.25,0.14285714285714285,0.24642857142857144,openMF_android-client_therajanmaurya_at_users.noreply.github.com,openMF/android-client,OSS4SG,1
5,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,openMF_android-client_therajanmaurya_at_users.noreply.github.com,openMF/android-client,OSS4SG,1
6,1,1,0,0,2,0.75,0.2857142857142857,0.5678571428571428,openMF_android-client_therajanmaurya_at_users.noreply.github.com,openMF/android-client,OSS4SG,1
7,3,4,5,2,5,1.0,0.7142857142857143,2.807142857142857,openMF_android-client_therajanmaurya_at_users.noreply.github.com,openMF/android-client,OSS4SG,1
8,4,5,5,1,4,1.0,0.5714285714285714,3.085714285714286,openMF_android-client_therajanmaurya_at_users.noreply.github.com,openMF/android-client,OSS4SG,2
9,0,2,1,0,1,1.0,0.14285714285714285,0.6714285714285715,openMF_android-client_therajanmaurya_at_users.noreply.github.com,openMF/android-client,OSS4SG,2
10,1,1,0,1,3,1.0,0.42857142857142855,0.7642857142857142,openMF_android-client_therajanmaurya_at_users.noreply.github.com,openMF/android-client,OSS4SG,2
11,2,1,1,0,3,1.0,0.42857142857142855,1.0142857142857142,openMF_android-client_therajanmaurya_at_users.noreply.github.com,openMF/android-client,OSS4SG,2
