week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,2,0,0,2,2,0.25,0.2857142857142857,0.8678571428571429,opensrp_opensrp-client-core_raihan_at_mpower-social.com,opensrp/opensrp-client-core,OSS4SG,0
1,0,1,0,0,1,0.5,0.14285714285714285,0.27142857142857146,opensrp_opensrp-client-core_raihan_at_mpower-social.com,opensrp/opensrp-client-core,OSS4SG,0
2,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,opensrp_opensrp-client-core_raihan_at_mpower-social.com,opensrp/opensrp-client-core,OSS4SG,0
3,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,opensrp_opensrp-client-core_raihan_at_mpower-social.com,opensrp/opensrp-client-core,OSS4SG,0
4,0,0,0,0,0,0.75,0.0,0.07500000000000001,opensrp_opensrp-client-core_raihan_at_mpower-social.com,opensrp/opensrp-client-core,OSS4SG,1
5,0,0,0,0,0,0.5,0.0,0.05,opensrp_opensrp-client-core_raihan_at_mpower-social.com,opensrp/opensrp-client-core,OSS4SG,1
6,0,0,0,0,0,0.25,0.0,0.025,opensrp_opensrp-client-core_raihan_at_mpower-social.com,opensrp/opensrp-client-core,OSS4SG,1
7,0,0,0,0,0,0.0,0.0,0.0,opensrp_opensrp-client-core_raihan_at_mpower-social.com,opensrp/opensrp-client-core,OSS4SG,1
8,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,opensrp_opensrp-client-core_raihan_at_mpower-social.com,opensrp/opensrp-client-core,OSS4SG,2
9,2,0,0,0,2,0.5,0.2857142857142857,0.5928571428571429,opensrp_opensrp-client-core_raihan_at_mpower-social.com,opensrp/opensrp-client-core,OSS4SG,2
10,4,0,0,0,3,0.75,0.42857142857142855,1.1392857142857142,opensrp_opensrp-client-core_raihan_at_mpower-social.com,opensrp/opensrp-client-core,OSS4SG,2
11,0,0,0,0,0,0.75,0.0,0.07500000000000001,opensrp_opensrp-client-core_raihan_at_mpower-social.com,opensrp/opensrp-client-core,OSS4SG,2
12,0,0,0,0,0,0.5,0.0,0.05,opensrp_opensrp-client-core_raihan_at_mpower-social.com,opensrp/opensrp-client-core,OSS4SG,3
13,0,0,0,0,0,0.25,0.0,0.025,opensrp_opensrp-client-core_raihan_at_mpower-social.com,opensrp/opensrp-client-core,OSS4SG,3
14,0,0,0,0,0,0.0,0.0,0.0,opensrp_opensrp-client-core_raihan_at_mpower-social.com,opensrp/opensrp-client-core,OSS4SG,3
15,0,0,0,0,0,0.0,0.0,0.0,opensrp_opensrp-client-core_raihan_at_mpower-social.com,opensrp/opensrp-client-core,OSS4SG,3
16,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,opensrp_opensrp-client-core_raihan_at_mpower-social.com,opensrp/opensrp-client-core,OSS4SG,4
17,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,opensrp_opensrp-client-core_raihan_at_mpower-social.com,opensrp/opensrp-client-core,OSS4SG,4
