week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,4,0,0,0,2,0.25,0.2857142857142857,1.0678571428571428,postmanlabs_openapi-to-postman_46000487+luistejedas_at_users.noreply.github.com,postmanlabs/openapi-to-postman,OSS,0
1,0,0,0,0,0,0.25,0.0,0.025,postmanlabs_openapi-to-postman_46000487+luistejedas_at_users.noreply.github.com,postmanlabs/openapi-to-postman,OSS,0
2,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,postmanlabs_openapi-to-postman_46000487+luistejedas_at_users.noreply.github.com,postmanlabs/openapi-to-postman,OSS,0
3,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,postmanlabs_openapi-to-postman_46000487+luistejedas_at_users.noreply.github.com,postmanlabs/openapi-to-postman,OSS,0
4,0,0,0,0,0,0.5,0.0,0.05,postmanlabs_openapi-to-postman_46000487+luistejedas_at_users.noreply.github.com,postmanlabs/openapi-to-postman,OSS,1
5,0,0,0,0,0,0.5,0.0,0.05,postmanlabs_openapi-to-postman_46000487+luistejedas_at_users.noreply.github.com,postmanlabs/openapi-to-postman,OSS,1
6,0,0,0,0,0,0.25,0.0,0.025,postmanlabs_openapi-to-postman_46000487+luistejedas_at_users.noreply.github.com,postmanlabs/openapi-to-postman,OSS,1
7,0,0,0,0,0,0.0,0.0,0.0,postmanlabs_openapi-to-postman_46000487+luistejedas_at_users.noreply.github.com,postmanlabs/openapi-to-postman,OSS,1
8,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,postmanlabs_openapi-to-postman_46000487+luistejedas_at_users.noreply.github.com,postmanlabs/openapi-to-postman,OSS,2
9,7,1,0,0,2,0.5,0.2857142857142857,2.0428571428571427,postmanlabs_openapi-to-postman_46000487+luistejedas_at_users.noreply.github.com,postmanlabs/openapi-to-postman,OSS,2
10,17,4,1,0,5,0.75,0.7142857142857143,5.382142857142857,postmanlabs_openapi-to-postman_46000487+luistejedas_at_users.noreply.github.com,postmanlabs/openapi-to-postman,OSS,2
11,13,3,0,0,3,1.0,0.42857142857142855,4.014285714285714,postmanlabs_openapi-to-postman_46000487+luistejedas_at_users.noreply.github.com,postmanlabs/openapi-to-postman,OSS,2
12,2,1,10,0,2,1.0,0.2857142857142857,2.342857142857143,postmanlabs_openapi-to-postman_46000487+luistejedas_at_users.noreply.github.com,postmanlabs/openapi-to-postman,OSS,3
13,5,1,5,0,3,1.0,0.42857142857142855,2.3642857142857143,postmanlabs_openapi-to-postman_46000487+luistejedas_at_users.noreply.github.com,postmanlabs/openapi-to-postman,OSS,3
