week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
-2,0,0,0,1,1,0.25,0.14285714285714285,0.19642857142857142,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,-1
-1,0,0,0,0,0,0.25,0.0,0.025,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,-1
0,1,1,0,0,1,0.5,0.14285714285714285,0.5214285714285715,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,0
1,0,1,3,0,1,0.75,0.14285714285714285,0.7464285714285714,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,0
2,0,1,4,1,1,0.75,0.14285714285714285,1.0464285714285715,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,0
3,0,1,11,0,1,1.0,0.14285714285714285,1.9714285714285713,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,0
4,0,1,0,0,1,1.0,0.14285714285714285,0.32142857142857145,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,1
5,0,0,0,0,0,0.75,0.0,0.07500000000000001,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,1
6,0,0,0,0,0,0.5,0.0,0.05,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,1
7,0,0,0,0,0,0.25,0.0,0.025,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,1
8,0,1,1,0,1,0.25,0.14285714285714285,0.3964285714285714,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,2
9,0,0,0,0,0,0.25,0.0,0.025,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,2
10,0,0,0,0,0,0.25,0.0,0.025,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,2
11,0,1,1,2,2,0.5,0.2857142857142857,0.7428571428571428,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,2
12,0,0,0,0,0,0.25,0.0,0.025,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,3
13,0,1,3,0,1,0.5,0.14285714285714285,0.7214285714285714,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,3
14,0,1,13,2,3,0.75,0.42857142857142855,2.5892857142857144,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,3
15,0,1,2,0,1,0.75,0.14285714285714285,0.5964285714285715,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,3
16,0,0,2,1,1,1.0,0.14285714285714285,0.5714285714285714,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,4
17,0,0,0,0,0,0.75,0.0,0.07500000000000001,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,4
18,0,0,0,0,0,0.5,0.0,0.05,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,4
19,0,2,6,0,2,0.5,0.2857142857142857,1.3928571428571428,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,4
20,0,0,0,0,0,0.25,0.0,0.025,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,5
21,0,0,0,0,0,0.25,0.0,0.025,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,5
22,0,0,0,0,0,0.25,0.0,0.025,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,5
23,0,0,0,0,0,0.0,0.0,0.0,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,5
24,0,1,1,0,1,0.25,0.14285714285714285,0.3964285714285714,psf_black_hi_at_mangoumbrella.com,psf/black,OSS,6
