week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
-12,0,1,0,0,1,0.25,0.14285714285714285,0.24642857142857144,psf_black_me_at_jacken.men,psf/black,OSS,-3
-11,0,0,0,0,0,0.25,0.0,0.025,psf_black_me_at_jacken.men,psf/black,OSS,-3
-10,0,0,0,0,0,0.25,0.0,0.025,psf_black_me_at_jacken.men,psf/black,OSS,-3
-9,0,0,0,0,0,0.25,0.0,0.025,psf_black_me_at_jacken.men,psf/black,OSS,-3
-8,0,0,0,0,0,0.0,0.0,0.0,psf_black_me_at_jacken.men,psf/black,OSS,-2
-7,0,0,0,0,0,0.0,0.0,0.0,psf_black_me_at_jacken.men,psf/black,OSS,-2
-6,0,0,0,0,0,0.0,0.0,0.0,psf_black_me_at_jacken.men,psf/black,OSS,-2
-5,0,0,0,0,0,0.0,0.0,0.0,psf_black_me_at_jacken.men,psf/black,OSS,-2
-4,0,0,0,0,0,0.0,0.0,0.0,psf_black_me_at_jacken.men,psf/black,OSS,-1
-3,0,0,0,0,0,0.0,0.0,0.0,psf_black_me_at_jacken.men,psf/black,OSS,-1
-2,0,1,4,0,1,0.25,0.14285714285714285,0.8464285714285715,psf_black_me_at_jacken.men,psf/black,OSS,-1
-1,0,0,0,0,0,0.25,0.0,0.025,psf_black_me_at_jacken.men,psf/black,OSS,-1
0,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,psf_black_me_at_jacken.men,psf/black,OSS,0
1,0,0,0,0,0,0.5,0.0,0.05,psf_black_me_at_jacken.men,psf/black,OSS,0
2,0,0,0,0,0,0.25,0.0,0.025,psf_black_me_at_jacken.men,psf/black,OSS,0
3,0,0,0,0,0,0.25,0.0,0.025,psf_black_me_at_jacken.men,psf/black,OSS,0
4,0,0,0,0,0,0.0,0.0,0.0,psf_black_me_at_jacken.men,psf/black,OSS,1
5,0,0,0,0,0,0.0,0.0,0.0,psf_black_me_at_jacken.men,psf/black,OSS,1
6,0,0,0,0,0,0.0,0.0,0.0,psf_black_me_at_jacken.men,psf/black,OSS,1
7,0,0,0,0,0,0.0,0.0,0.0,psf_black_me_at_jacken.men,psf/black,OSS,1
8,0,0,0,0,0,0.0,0.0,0.0,psf_black_me_at_jacken.men,psf/black,OSS,2
9,0,0,0,0,0,0.0,0.0,0.0,psf_black_me_at_jacken.men,psf/black,OSS,2
10,0,0,0,0,0,0.0,0.0,0.0,psf_black_me_at_jacken.men,psf/black,OSS,2
11,0,0,0,0,0,0.0,0.0,0.0,psf_black_me_at_jacken.men,psf/black,OSS,2
12,0,0,0,0,0,0.0,0.0,0.0,psf_black_me_at_jacken.men,psf/black,OSS,3
13,0,0,0,0,0,0.0,0.0,0.0,psf_black_me_at_jacken.men,psf/black,OSS,3
14,0,0,0,0,0,0.0,0.0,0.0,psf_black_me_at_jacken.men,psf/black,OSS,3
15,0,0,0,0,0,0.0,0.0,0.0,psf_black_me_at_jacken.men,psf/black,OSS,3
16,0,0,0,0,0,0.0,0.0,0.0,psf_black_me_at_jacken.men,psf/black,OSS,4
17,0,0,0,0,0,0.0,0.0,0.0,psf_black_me_at_jacken.men,psf/black,OSS,4
18,0,0,0,0,0,0.0,0.0,0.0,psf_black_me_at_jacken.men,psf/black,OSS,4
19,0,1,1,0,1,0.25,0.14285714285714285,0.3964285714285714,psf_black_me_at_jacken.men,psf/black,OSS,4
