week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,6,0,0,0,2,0.25,0.2857142857142857,1.5678571428571428,spring-projects_spring-boot_wilkinsona_at_vmware.com,spring-projects/spring-boot,OSS,0
1,0,0,0,0,0,0.25,0.0,0.025,spring-projects_spring-boot_wilkinsona_at_vmware.com,spring-projects/spring-boot,OSS,0
2,3,0,0,0,2,0.5,0.2857142857142857,0.8428571428571429,spring-projects_spring-boot_wilkinsona_at_vmware.com,spring-projects/spring-boot,OSS,0
3,24,0,0,0,5,0.75,0.7142857142857143,6.182142857142857,spring-projects_spring-boot_wilkinsona_at_vmware.com,spring-projects/spring-boot,OSS,0
4,109,0,0,0,5,0.75,0.7142857142857143,27.432142857142857,spring-projects_spring-boot_wilkinsona_at_vmware.com,spring-projects/spring-boot,OSS,1
5,69,0,0,0,5,1.0,0.7142857142857143,17.45714285714286,spring-projects_spring-boot_wilkinsona_at_vmware.com,spring-projects/spring-boot,OSS,1
6,32,0,0,0,4,1.0,0.5714285714285714,8.185714285714285,spring-projects_spring-boot_wilkinsona_at_vmware.com,spring-projects/spring-boot,OSS,1
7,23,0,0,0,3,1.0,0.42857142857142855,5.914285714285714,spring-projects_spring-boot_wilkinsona_at_vmware.com,spring-projects/spring-boot,OSS,1
8,0,0,0,0,0,0.75,0.0,0.07500000000000001,spring-projects_spring-boot_wilkinsona_at_vmware.com,spring-projects/spring-boot,OSS,2
9,0,0,0,0,0,0.5,0.0,0.05,spring-projects_spring-boot_wilkinsona_at_vmware.com,spring-projects/spring-boot,OSS,2
10,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,spring-projects_spring-boot_wilkinsona_at_vmware.com,spring-projects/spring-boot,OSS,2
11,9,0,0,0,3,0.5,0.42857142857142855,2.364285714285714,spring-projects_spring-boot_wilkinsona_at_vmware.com,spring-projects/spring-boot,OSS,2
12,0,0,0,0,0,0.5,0.0,0.05,spring-projects_spring-boot_wilkinsona_at_vmware.com,spring-projects/spring-boot,OSS,3
13,0,0,0,0,0,0.5,0.0,0.05,spring-projects_spring-boot_wilkinsona_at_vmware.com,spring-projects/spring-boot,OSS,3
14,7,0,0,0,3,0.5,0.42857142857142855,1.8642857142857143,spring-projects_spring-boot_wilkinsona_at_vmware.com,spring-projects/spring-boot,OSS,3
15,26,0,0,0,4,0.5,0.5714285714285714,6.635714285714285,spring-projects_spring-boot_wilkinsona_at_vmware.com,spring-projects/spring-boot,OSS,3
16,41,0,0,0,5,0.75,0.7142857142857143,10.432142857142857,spring-projects_spring-boot_wilkinsona_at_vmware.com,spring-projects/spring-boot,OSS,4
17,27,0,0,0,3,1.0,0.42857142857142855,6.914285714285714,spring-projects_spring-boot_wilkinsona_at_vmware.com,spring-projects/spring-boot,OSS,4
18,13,0,0,0,4,1.0,0.5714285714285714,3.435714285714286,spring-projects_spring-boot_wilkinsona_at_vmware.com,spring-projects/spring-boot,OSS,4
19,97,0,3,26,6,1.0,0.8571428571428571,28.82857142857143,spring-projects_spring-boot_wilkinsona_at_vmware.com,spring-projects/spring-boot,OSS,4
20,88,0,11,42,4,1.0,0.5714285714285714,30.135714285714286,spring-projects_spring-boot_wilkinsona_at_vmware.com,spring-projects/spring-boot,OSS,5
21,43,0,9,32,4,1.0,0.5714285714285714,17.085714285714285,spring-projects_spring-boot_wilkinsona_at_vmware.com,spring-projects/spring-boot,OSS,5
