week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,3,2,1,0,2,0.25,0.2857142857142857,1.3678571428571427,sugarlabs_musicblocks_55449862+sksum_at_users.noreply.github.com,sugarlabs/musicblocks,OSS4SG,0
1,3,1,0,0,1,0.5,0.14285714285714285,1.0214285714285714,sugarlabs_musicblocks_55449862+sksum_at_users.noreply.github.com,sugarlabs/musicblocks,OSS4SG,0
2,0,0,0,0,0,0.5,0.0,0.05,sugarlabs_musicblocks_55449862+sksum_at_users.noreply.github.com,sugarlabs/musicblocks,OSS4SG,0
3,2,1,3,0,1,0.75,0.14285714285714285,1.2464285714285712,sugarlabs_musicblocks_55449862+sksum_at_users.noreply.github.com,sugarlabs/musicblocks,OSS4SG,0
4,0,0,0,0,0,0.5,0.0,0.05,sugarlabs_musicblocks_55449862+sksum_at_users.noreply.github.com,sugarlabs/musicblocks,OSS4SG,1
5,1,1,0,0,2,0.5,0.2857142857142857,0.5428571428571429,sugarlabs_musicblocks_55449862+sksum_at_users.noreply.github.com,sugarlabs/musicblocks,OSS4SG,1
6,0,0,0,0,0,0.5,0.0,0.05,sugarlabs_musicblocks_55449862+sksum_at_users.noreply.github.com,sugarlabs/musicblocks,OSS4SG,1
7,1,1,1,0,1,0.5,0.14285714285714285,0.6714285714285715,sugarlabs_musicblocks_55449862+sksum_at_users.noreply.github.com,sugarlabs/musicblocks,OSS4SG,1
8,4,3,2,0,3,0.75,0.42857142857142855,2.0392857142857146,sugarlabs_musicblocks_55449862+sksum_at_users.noreply.github.com,sugarlabs/musicblocks,OSS4SG,2
9,1,1,0,0,1,0.75,0.14285714285714285,0.5464285714285715,sugarlabs_musicblocks_55449862+sksum_at_users.noreply.github.com,sugarlabs/musicblocks,OSS4SG,2
10,4,3,4,0,4,1.0,0.5714285714285714,2.385714285714286,sugarlabs_musicblocks_55449862+sksum_at_users.noreply.github.com,sugarlabs/musicblocks,OSS4SG,2
11,4,4,12,0,5,1.0,0.7142857142857143,3.807142857142857,sugarlabs_musicblocks_55449862+sksum_at_users.noreply.github.com,sugarlabs/musicblocks,OSS4SG,2
12,10,5,2,0,6,1.0,0.8571428571428571,4.0285714285714285,sugarlabs_musicblocks_55449862+sksum_at_users.noreply.github.com,sugarlabs/musicblocks,OSS4SG,3
13,4,2,2,0,5,1.0,0.7142857142857143,1.9071428571428573,sugarlabs_musicblocks_55449862+sksum_at_users.noreply.github.com,sugarlabs/musicblocks,OSS4SG,3
14,7,4,5,0,6,1.0,0.8571428571428571,3.5285714285714285,sugarlabs_musicblocks_55449862+sksum_at_users.noreply.github.com,sugarlabs/musicblocks,OSS4SG,3
15,1,0,1,1,2,1.0,0.2857142857142857,0.6928571428571428,sugarlabs_musicblocks_55449862+sksum_at_users.noreply.github.com,sugarlabs/musicblocks,OSS4SG,3
16,6,3,3,0,6,1.0,0.8571428571428571,2.7785714285714285,sugarlabs_musicblocks_55449862+sksum_at_users.noreply.github.com,sugarlabs/musicblocks,OSS4SG,4
17,6,1,3,0,5,1.0,0.7142857142857143,2.357142857142857,sugarlabs_musicblocks_55449862+sksum_at_users.noreply.github.com,sugarlabs/musicblocks,OSS4SG,4
18,9,2,6,0,3,1.0,0.42857142857142855,3.714285714285714,sugarlabs_musicblocks_55449862+sksum_at_users.noreply.github.com,sugarlabs/musicblocks,OSS4SG,4
19,8,4,7,1,7,1.0,1.0,4.249999999999999,sugarlabs_musicblocks_55449862+sksum_at_users.noreply.github.com,sugarlabs/musicblocks,OSS4SG,4
