week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,1,1,0,0,1,0.25,0.14285714285714285,0.49642857142857144,unicef_etools_psemanchuk_at_caktusgroup.com,unicef/etools,OSS4SG,0
1,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,unicef_etools_psemanchuk_at_caktusgroup.com,unicef/etools,OSS4SG,0
2,11,4,3,0,4,0.75,0.5714285714285714,4.160714285714286,unicef_etools_psemanchuk_at_caktusgroup.com,unicef/etools,OSS4SG,0
3,0,0,0,0,0,0.75,0.0,0.07500000000000001,unicef_etools_psemanchuk_at_caktusgroup.com,unicef/etools,OSS4SG,0
4,1,0,2,0,2,0.75,0.2857142857142857,0.6678571428571429,unicef_etools_psemanchuk_at_caktusgroup.com,unicef/etools,OSS4SG,1
5,23,4,2,0,4,0.75,0.5714285714285714,7.010714285714285,unicef_etools_psemanchuk_at_caktusgroup.com,unicef/etools,OSS4SG,1
6,6,3,0,0,2,0.75,0.2857142857142857,2.217857142857143,unicef_etools_psemanchuk_at_caktusgroup.com,unicef/etools,OSS4SG,1
7,1,1,0,0,1,1.0,0.14285714285714285,0.5714285714285714,unicef_etools_psemanchuk_at_caktusgroup.com,unicef/etools,OSS4SG,1
8,27,2,2,0,2,1.0,0.2857142857142857,7.5928571428571425,unicef_etools_psemanchuk_at_caktusgroup.com,unicef/etools,OSS4SG,2
9,10,3,1,0,3,1.0,0.42857142857142855,3.414285714285714,unicef_etools_psemanchuk_at_caktusgroup.com,unicef/etools,OSS4SG,2
10,10,6,0,0,1,1.0,0.14285714285714285,3.8214285714285716,unicef_etools_psemanchuk_at_caktusgroup.com,unicef/etools,OSS4SG,2
11,12,6,0,0,2,1.0,0.2857142857142857,4.3428571428571425,unicef_etools_psemanchuk_at_caktusgroup.com,unicef/etools,OSS4SG,2
12,36,3,3,0,5,1.0,0.7142857142857143,10.257142857142856,unicef_etools_psemanchuk_at_caktusgroup.com,unicef/etools,OSS4SG,3
13,3,2,2,0,2,1.0,0.2857142857142857,1.592857142857143,unicef_etools_psemanchuk_at_caktusgroup.com,unicef/etools,OSS4SG,3
14,29,4,2,0,3,1.0,0.42857142857142855,8.514285714285716,unicef_etools_psemanchuk_at_caktusgroup.com,unicef/etools,OSS4SG,3
15,17,8,4,0,4,1.0,0.5714285714285714,6.635714285714284,unicef_etools_psemanchuk_at_caktusgroup.com,unicef/etools,OSS4SG,3
16,18,5,6,0,4,1.0,0.5714285714285714,6.585714285714285,unicef_etools_psemanchuk_at_caktusgroup.com,unicef/etools,OSS4SG,4
17,22,1,1,1,5,1.0,0.7142857142857143,6.207142857142857,unicef_etools_psemanchuk_at_caktusgroup.com,unicef/etools,OSS4SG,4
18,51,5,5,0,4,1.0,0.5714285714285714,14.685714285714285,unicef_etools_psemanchuk_at_caktusgroup.com,unicef/etools,OSS4SG,4
