week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,1,1,0,0,1,0.25,0.14285714285714285,0.49642857142857144,vinta_awesome-python_abhi18av_at_users.noreply.github.com,vinta/awesome-python,OSS,0
1,0,0,0,0,0,0.25,0.0,0.025,vinta_awesome-python_abhi18av_at_users.noreply.github.com,vinta/awesome-python,OSS,0
2,0,0,0,0,0,0.25,0.0,0.025,vinta_awesome-python_abhi18av_at_users.noreply.github.com,vinta/awesome-python,OSS,0
3,0,0,0,0,0,0.25,0.0,0.025,vinta_awesome-python_abhi18av_at_users.noreply.github.com,vinta/awesome-python,OSS,0
4,0,0,0,0,0,0.0,0.0,0.0,vinta_awesome-python_abhi18av_at_users.noreply.github.com,vinta/awesome-python,OSS,1
5,0,0,0,0,0,0.0,0.0,0.0,vinta_awesome-python_abhi18av_at_users.noreply.github.com,vinta/awesome-python,OSS,1
6,0,0,0,0,0,0.0,0.0,0.0,vinta_awesome-python_abhi18av_at_users.noreply.github.com,vinta/awesome-python,OSS,1
7,0,0,0,0,0,0.0,0.0,0.0,vinta_awesome-python_abhi18av_at_users.noreply.github.com,vinta/awesome-python,OSS,1
8,0,0,0,0,0,0.0,0.0,0.0,vinta_awesome-python_abhi18av_at_users.noreply.github.com,vinta/awesome-python,OSS,2
9,0,0,0,0,0,0.0,0.0,0.0,vinta_awesome-python_abhi18av_at_users.noreply.github.com,vinta/awesome-python,OSS,2
10,0,0,0,0,0,0.0,0.0,0.0,vinta_awesome-python_abhi18av_at_users.noreply.github.com,vinta/awesome-python,OSS,2
11,0,0,0,0,1,0.0,0.14285714285714285,0.021428571428571425,vinta_awesome-python_abhi18av_at_users.noreply.github.com,vinta/awesome-python,OSS,2
