week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,0
1,0,0,0,0,0,0.25,0.0,0.025,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,0
2,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,0
3,0,0,0,0,0,0.5,0.0,0.05,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,0
4,0,0,0,0,0,0.25,0.0,0.025,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,1
5,6,0,0,0,3,0.5,0.42857142857142855,1.6142857142857143,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,1
6,2,0,0,0,1,0.5,0.14285714285714285,0.5714285714285715,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,1
7,0,0,0,0,0,0.5,0.0,0.05,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,1
8,0,0,0,0,0,0.5,0.0,0.05,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,2
9,2,0,0,0,2,0.5,0.2857142857142857,0.5928571428571429,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,2
10,5,0,0,0,2,0.5,0.2857142857142857,1.342857142857143,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,2
11,0,0,0,0,0,0.5,0.0,0.05,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,2
12,0,0,0,0,0,0.5,0.0,0.05,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,3
13,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,3
14,0,0,0,0,0,0.25,0.0,0.025,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,3
15,2,0,0,0,2,0.5,0.2857142857142857,0.5928571428571429,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,3
16,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,4
17,0,0,0,0,0,0.5,0.0,0.05,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,4
18,0,0,0,0,0,0.5,0.0,0.05,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,4
19,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,4
20,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,5
21,5,0,0,0,3,0.75,0.42857142857142855,1.3892857142857142,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,5
22,2,0,0,0,2,1.0,0.2857142857142857,0.6428571428571428,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,5
23,0,0,0,0,0,0.75,0.0,0.07500000000000001,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,5
24,0,0,0,0,0,0.5,0.0,0.05,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,6
25,0,0,0,0,0,0.25,0.0,0.025,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,6
26,0,0,0,0,0,0.0,0.0,0.0,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,6
27,0,0,0,0,0,0.0,0.0,0.0,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,6
28,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,7
29,2,0,0,0,2,0.5,0.2857142857142857,0.5928571428571429,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,7
30,0,0,0,0,0,0.5,0.0,0.05,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,7
31,0,0,0,0,0,0.5,0.0,0.05,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,7
32,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,8
33,3,0,0,0,3,0.5,0.42857142857142855,0.8642857142857143,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,8
34,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,8
35,0,0,0,0,0,0.75,0.0,0.07500000000000001,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,8
36,0,0,0,0,0,0.5,0.0,0.05,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,9
37,0,0,0,0,0,0.25,0.0,0.025,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,9
38,0,0,0,0,0,0.0,0.0,0.0,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,9
39,2,0,0,0,2,0.25,0.2857142857142857,0.5678571428571428,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,9
40,5,0,0,0,3,0.5,0.42857142857142855,1.3642857142857143,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,10
41,3,0,0,0,2,0.75,0.2857142857142857,0.8678571428571429,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,10
42,2,0,0,0,2,1.0,0.2857142857142857,0.6428571428571428,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,10
43,0,0,0,0,0,0.75,0.0,0.07500000000000001,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,10
44,0,0,0,0,0,0.5,0.0,0.05,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,11
45,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,wevote_WeVoteServer_dale.mcgrew_at_wevote.us,wevote/WeVoteServer,OSS4SG,11
