week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,4,1,0,0,1,0.25,0.14285714285714285,1.2464285714285712,wevote_WebApp_armendo_at_vt.edu,wevote/WebApp,OSS4SG,0
1,2,1,0,0,1,0.5,0.14285714285714285,0.7714285714285715,wevote_WebApp_armendo_at_vt.edu,wevote/WebApp,OSS4SG,0
2,4,1,0,0,1,0.75,0.14285714285714285,1.2964285714285713,wevote_WebApp_armendo_at_vt.edu,wevote/WebApp,OSS4SG,0
3,10,0,0,0,3,1.0,0.42857142857142855,2.664285714285714,wevote_WebApp_armendo_at_vt.edu,wevote/WebApp,OSS4SG,0
4,6,1,0,0,1,1.0,0.14285714285714285,1.8214285714285714,wevote_WebApp_armendo_at_vt.edu,wevote/WebApp,OSS4SG,1
5,9,1,0,0,3,1.0,0.42857142857142855,2.6142857142857143,wevote_WebApp_armendo_at_vt.edu,wevote/WebApp,OSS4SG,1
6,2,0,0,0,1,1.0,0.14285714285714285,0.6214285714285714,wevote_WebApp_armendo_at_vt.edu,wevote/WebApp,OSS4SG,1
7,0,0,0,0,0,0.75,0.0,0.07500000000000001,wevote_WebApp_armendo_at_vt.edu,wevote/WebApp,OSS4SG,1
8,4,1,0,0,3,0.75,0.42857142857142855,1.3392857142857142,wevote_WebApp_armendo_at_vt.edu,wevote/WebApp,OSS4SG,2
9,10,3,0,0,3,0.75,0.42857142857142855,3.2392857142857148,wevote_WebApp_armendo_at_vt.edu,wevote/WebApp,OSS4SG,2
10,1,1,0,0,1,0.75,0.14285714285714285,0.5464285714285715,wevote_WebApp_armendo_at_vt.edu,wevote/WebApp,OSS4SG,2
11,6,3,1,0,2,1.0,0.2857142857142857,2.392857142857143,wevote_WebApp_armendo_at_vt.edu,wevote/WebApp,OSS4SG,2
12,7,2,0,0,3,1.0,0.42857142857142855,2.3142857142857145,wevote_WebApp_armendo_at_vt.edu,wevote/WebApp,OSS4SG,3
13,0,0,0,0,0,0.75,0.0,0.07500000000000001,wevote_WebApp_armendo_at_vt.edu,wevote/WebApp,OSS4SG,3
14,9,1,0,0,4,0.75,0.5714285714285714,2.610714285714286,wevote_WebApp_armendo_at_vt.edu,wevote/WebApp,OSS4SG,3
15,0,0,0,0,0,0.5,0.0,0.05,wevote_WebApp_armendo_at_vt.edu,wevote/WebApp,OSS4SG,3
16,0,0,0,0,0,0.25,0.0,0.025,wevote_WebApp_armendo_at_vt.edu,wevote/WebApp,OSS4SG,4
17,3,0,0,0,2,0.5,0.2857142857142857,0.8428571428571429,wevote_WebApp_armendo_at_vt.edu,wevote/WebApp,OSS4SG,4
