week_num,commits,prs_merged,comments,issues_opened,active_days,duration,active_days_norm,contribution_index,contributor_id,project,project_type,month_num
0,5,1,1,0,2,0.25,0.2857142857142857,1.6678571428571427,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,0
1,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,0
2,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,0
3,4,2,1,0,4,1.0,0.5714285714285714,1.7357142857142855,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,0
4,5,3,1,0,3,1.0,0.42857142857142855,2.164285714285714,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,1
5,5,3,0,0,4,1.0,0.5714285714285714,2.0357142857142856,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,1
6,21,5,3,0,6,1.0,0.8571428571428571,6.928571428571429,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,1
7,2,3,0,0,4,1.0,0.5714285714285714,1.2857142857142858,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,1
8,3,2,1,0,3,1.0,0.42857142857142855,1.4642857142857142,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,2
9,1,2,0,0,2,1.0,0.2857142857142857,0.7928571428571428,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,2
10,2,2,0,0,1,1.0,0.14285714285714285,1.0214285714285716,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,2
11,0,0,0,0,0,0.75,0.0,0.07500000000000001,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,2
12,1,0,0,0,1,0.75,0.14285714285714285,0.3464285714285714,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,3
13,1,1,0,0,2,0.75,0.2857142857142857,0.5678571428571428,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,3
14,1,1,0,0,1,0.75,0.14285714285714285,0.5464285714285715,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,3
15,1,1,0,0,1,1.0,0.14285714285714285,0.5714285714285714,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,3
16,0,0,0,0,0,0.75,0.0,0.07500000000000001,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,4
17,0,0,0,0,0,0.5,0.0,0.05,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,4
18,0,0,0,0,0,0.25,0.0,0.025,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,4
19,1,0,0,0,1,0.25,0.14285714285714285,0.29642857142857143,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,4
20,0,1,0,0,1,0.5,0.14285714285714285,0.27142857142857146,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,5
21,5,0,0,0,4,0.75,0.5714285714285714,1.4107142857142856,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,5
22,0,0,0,0,0,0.75,0.0,0.07500000000000001,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,5
23,2,0,0,0,1,0.75,0.14285714285714285,0.5964285714285715,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,5
24,0,0,0,0,0,0.5,0.0,0.05,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,6
25,1,0,0,0,1,0.5,0.14285714285714285,0.3214285714285714,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,6
26,2,2,0,0,2,0.75,0.2857142857142857,1.0178571428571428,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,6
27,2,2,0,0,2,0.75,0.2857142857142857,1.0178571428571428,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,6
28,0,0,0,0,0,0.75,0.0,0.07500000000000001,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,7
29,0,0,0,0,0,0.5,0.0,0.05,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,7
30,3,3,0,0,2,0.5,0.2857142857142857,1.442857142857143,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,7
31,0,0,0,0,0,0.25,0.0,0.025,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,7
32,0,0,0,0,0,0.25,0.0,0.025,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,8
33,0,0,0,0,0,0.25,0.0,0.025,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,8
34,0,0,0,0,0,0.0,0.0,0.0,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,8
35,0,0,0,0,0,0.0,0.0,0.0,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,8
36,0,0,0,0,0,0.0,0.0,0.0,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,9
37,1,1,0,0,1,0.25,0.14285714285714285,0.49642857142857144,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,9
38,1,1,0,0,2,0.5,0.2857142857142857,0.5428571428571429,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,9
39,3,2,1,0,2,0.75,0.2857142857142857,1.4178571428571427,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,9
40,1,0,0,0,1,1.0,0.14285714285714285,0.37142857142857144,wevote_WebApp_itcreativeusa_at_gmail.com,wevote/WebApp,OSS4SG,10
